Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Kotak Liquid - Direct Plan,31894.31,7.54,10,8.71,9,7.64,3,7.29,8,7.18,14,7.19,11,7.46,11,7.42,13,7.38,14,6.92,15,5.82,13,5.18,13,5.23,14,5.78,15,6.43,12,6.8,-,0.14
LIC MF Liquid Fund - Direct Plan,12530.22,7.12,17,8.59,13,7.55,14,7.27,11,7.2,9,7.23,3,7.5,5,7.45,6,7.38,13,6.92,12,5.83,11,5.2,8,5.31,4,5.86,6,6.5,5,6.85,-,0.12
Mirae Asset Liquid Fund - Direct Plan,11570.11,7.63,5,8.54,14,7.57,11,7.29,9,7.21,8,7.22,7,7.47,9,7.44,7,7.41,3,6.96,7,5.86,6,5.23,4,5.29,7,5.85,8,6.42,16,6.7,-,0.13
Nippon India Liquid Fund - Direct Plan,33603.87,7.36,13,8.73,5,7.63,6,7.33,2,7.24,3,7.23,4,7.51,3,7.45,3,7.41,4,6.96,4,5.86,7,5.21,7,5.31,3,5.88,3,6.52,3,6.88,-,0.16
SBI Liquid Fund - Direct Plan,70911.57,7.72,3,8.71,7,7.57,10,7.25,16,7.15,16,7.16,16,7.44,16,7.4,16,7.36,16,6.92,14,5.82,15,5.18,14,5.25,13,5.79,13,6.43,13,6.8,-,0.11
Tata Liquid Fund - Direct Plan,21011.58,7.59,6,8.71,8,7.59,9,7.25,15,7.18,11,7.18,12,7.45,13,7.44,9,7.4,7,6.92,13,5.83,12,5.18,11,5.29,8,5.85,7,6.49,6,6.88,-,0.11
UTI Liquid Fund - Direct Plan,28028.74,7.49,11,8.73,3,7.64,4,7.31,3,7.22,5,7.21,9,7.46,12,7.42,12,7.38,12,6.96,6,5.86,5,5.21,6,5.28,10,5.85,9,6.47,8,6.83,-,0.12
CRISIL Liquid Debt Index ( 02-Jul-2024 ) ,,10.33,,7.72,,7.27,,7.18,,7.15,,7.13,,7.34,,7.37,,7.36,,6.96,,5.92,,5.36,,5.45,,5.98,,6.53,,,,
CRISIL Liquid Debt B-I Index ( 02-Jul-2024 ) ,,10.27,,7.71,,7.25,,7.19,,7.18,,7.16,,7.37,,7.4,,7.39,,6.99,,5.95,,5.36,,5.44,,5.88,,6.46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Bond Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,7,,6,,10,
Peer Average,,11.28,,8.31,,6.88,,6.58,,8.8,,7.41,,8.07,,7.71,,7.52,,7.35,,5.86,,5.78,,7.12,,7.1,,7.88,,,,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,22042.26,14.64,2,9.07,4,7.27,4,7.07,2,9.47,1,7.88,1,8.56,2,8.06,1,7.85,3,7.62,3,6.11,3,6.09,3,7.32,3,7.4,1,8.02,2,8.2,-,5.54
HDFC Corporate Bond Fund - Direct Plan,28959.05,6.83,10,7.8,7,7.44,3,7.11,1,9.02,3,7.6,3,8.6,1,7.87,4,7.88,1,7.74,2,6.02,4,5.96,4,7.25,4,7.32,3,7.98,3,8.09,-,5.56
ICICI Prudential Corporate Bond Fund - Direct Plan,27285.73,12.98,4,9.16,3,6.8,6,6.82,4,8.37,10,7.65,2,8.01,7,7.68,6,7.86,2,7.9,1,6.38,1,6.25,2,7.37,2,7.35,2,7.94,4,8.19,-,4.61
SBI Corporate Bond Fund - Direct Plan,20025.72,11.75,5,7.72,8,6.92,5,6.49,6,8.62,7,7.28,8,7.9,8,7.54,8,7.35,7,7.04,9,5.7,7,5.45,8,6.91,7,-,-,-,-,7.24,-,4.5
Bandhan Corporate Bond Fund - Direct Plan,13808.94,17.31,1,9.56,2,6.7,7,6.38,8,8.79,6,7.33,6,7.15,10,7.13,10,7.14,9,6.82,10,5.4,10,5.42,9,6.7,10,6.81,6,-,-,7.28,-,3.98
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,12541.1,9.02,8,6.96,10,6.23,9,6.19,9,8.56,8,7.55,4,8.25,4,7.9,3,7.64,5,7.3,6,5.96,5,5.89,5,6.88,8,7.19,5,8.13,1,7.97,-,5.19
HSBC Corporate Bond Fund - Direct Plan,5965.27,7.48,9,9.6,1,7.58,1,6.69,5,8.87,4,6.78,10,8.01,6,7.52,9,7,10,7.42,5,5.52,9,5.3,10,7.13,5,7.32,4,7.78,5,7.59,-,4.55
Axis Corporate Debt Fund - Direct Plan,5282.11,13.07,3,8.05,5,7.54,2,6.87,3,9.04,2,7.53,5,8.3,3,7.96,2,7.72,4,7.53,4,6.18,2,6.3,1,7.67,1,-,-,-,-,7.42,-,5.09
UTI Corporate Bond Fund - Direct Plan,3856.33,10.23,6,7.35,9,5.74,10,5.82,10,8.46,9,7.12,9,7.86,9,7.6,7,7.34,8,7.06,7,5.77,6,5.63,6,7.12,6,-,-,-,-,7.52,-,4.31
Invesco India Corporate Bond Fund - Direct Plan,3528.03,9.5,7,7.87,6,6.64,8,6.39,7,8.83,5,7.33,7,8.09,5,7.78,5,7.45,6,7.06,8,5.58,8,5.51,7,6.86,9,6.34,7,7.41,6,7.35,-,4.66
NIFTY Corporate Bond Index,,5.41,,5.23,,5.7,,6.41,,8.05,,6.95,,7.52,,7.27,,7.24,,7.27,,5.68,,5.99,,7.25,,7.06,,7.77,,,,
NIFTY Corporate Bond Index B-II,,9.66,,5.09,,5.56,,6.99,,7.92,,7.38,,7.61,,7.38,,7.39,,7.39,,6.04,,6.43,,7.25,,7.18,,7.75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,
Peer Average,,12.34,,8.33,,6.86,,6.93,,8.53,,7.47,,8.03,,7.92,,7.59,,7.41,,6.14,,6.02,,7.17,,6.96,,7.71,,,,
Aditya Birla Sun Life Short Term Fund - Direct Plan,7497.01,13.8,5,8.58,4,7.42,2,7.06,6,8.98,2,7.86,2,8.31,1,8.11,3,7.79,2,7.72,2,6.43,3,6.7,3,7.49,3,7.47,2,8.22,2,8.61,-,4.11
Axis Short Term Fund - Direct Plan,8006.89,14.82,4,8.68,3,7.53,1,6.96,8,8.52,8,7.59,6,8.2,5,8.02,5,7.58,7,7.42,7,6.13,5,6.02,6,7.26,6,7.34,3,7.99,3,8.13,-,3.71
Bandhan Bond Fund Short Term Plan - Direct Plan,8759.17,22.24,1,10.71,1,7.19,4,7.55,1,9.19,1,7.74,3,7.95,9,8.23,1,7.57,8,7.27,8,5.67,10,5.48,10,6.77,10,6.96,7,7.59,8,7.8,-,3.42
DSP Short Term Fund - Direct Plan,2972.58,13.23,6,7.84,11,6.54,11,7.19,4,8.44,11,7.25,11,7.77,11,7.56,12,7.25,12,7.01,11,5.63,11,5.47,11,6.67,11,6.79,9,7.57,9,7.78,-,3.47
HDFC Short Term Debt Fund - Direct Plan,13055.75,9.89,9,8.21,9,6.96,7,7,7,8.68,3,7.69,4,8.2,4,7.93,7,7.73,3,7.53,3,6.08,6,6.15,5,7.3,4,7.33,4,7.85,6,8.03,-,4.06
HSBC Short Duration Fund - Direct Plan,3833.84,15.77,2,9.98,2,7.17,5,7.28,3,8.62,4,7.27,10,7.54,12,7.64,10,7.27,11,6.92,12,5.42,12,5.26,12,6.51,12,6.72,10,7.42,10,7.63,-,3.33
ICICI Prudential Short Term Fund - Direct Plan,18252.31,15.43,3,8.58,5,7.03,6,7.11,5,8.56,6,7.87,1,8.2,3,8.14,2,8.08,1,8.27,1,6.75,2,6.73,2,7.8,2,7.66,1,8.41,1,8.52,-,5.01
Kotak Bond - Short Term Fund - Direct Plan,14949.4,10.64,8,7.85,10,6.78,9,6.92,9,8.48,9,7.64,5,8.22,2,7.91,9,7.71,4,7.44,6,5.96,7,5.86,7,7.06,7,7.21,5,7.89,4,8,-,5
Nippon India Short Term Fund - Direct Plan,5511.4,9.34,10,8.4,8,7.38,3,7.4,2,8.45,10,7.32,9,8.02,7,7.97,6,7.61,6,7.44,5,6.13,4,6.25,4,7.27,5,7.15,6,7.88,5,8.07,-,3.47
SBI Short Term Debt Fund - Direct Plan,12785.19,12.62,7,8.52,7,6.8,8,6.6,11,8.54,7,7.46,8,7.85,10,7.59,11,7.41,10,7.13,10,5.82,9,5.54,9,6.79,9,6.88,8,7.61,7,7.77,-,3.71
Tata Short Term Bond Fund - Direct Plan,2210.08,8.71,11,8.56,6,6.78,10,6.72,10,8.59,5,7.51,7,8.03,6,7.93,8,7.43,9,7.24,9,5.87,8,5.63,8,6.89,8,6.1,11,7.11,11,7.5,-,3.39
UTI Short Duration Fund - Direct Plan,2673.12,1.65,12,4.06,12,4.77,12,5.37,12,7.34,12,6.5,12,8.01,8,8.02,4,7.65,5,7.5,4,7.76,1,7.2,1,8.26,1,5.89,12,7,12,7.36,-,3.2
CRISIL Short-Term Bond Index ( 02-Jul-2024 ) ,,10.48,,5.29,,6.88,,7.5,,7.84,,7.3,,7.76,,7.45,,7.33,,7.23,,5.8,,5.71,,6.86,,6.85,,7.52,,,,
NIFTY Short Duration Debt Index B-II,,9.19,,6.16,,6.18,,7.17,,8,,7.41,,7.62,,7.49,,7.45,,7.43,,6.02,,6.14,,6.85,,6.89,,7.47,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Bond Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,12,
Peer Average,,18.79,,6,,5.46,,7.27,,12.56,,9.05,,10.4,,9.28,,8.35,,8.28,,6.67,,6.34,,7.36,,6.89,,8.2,,,,
360 ONE Dynamic Bond Fund - Direct Plan,734.01,20.1,8,6.88,5,5.16,8,6.1,8,10.06,9,7.19,12,9.86,6,9.13,5,8.19,7,7.55,10,6.38,7,6.58,5,6.93,9,6.82,7,7.61,10,7.24,-,6.46
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,1698.57,27.26,4,7.34,3,5.2,7,5.89,9,13.01,5,9.44,5,9.69,9,8.94,7,8.04,9,9.35,1,7.22,2,7.18,2,6.19,12,5.68,12,7.43,11,7.63,-,13.84
Axis Dynamic Bond Fund - Direct Plan,1702.66,18.04,10,6.42,6,6.7,3,7.44,6,10.2,7,7.31,11,9.03,10,7.91,11,7.3,11,7.91,9,5.56,11,5.54,10,7.23,8,7.26,5,8.49,5,8.47,-,9.25
Bandhan Dynamic Bond Fund - Direct Plan,2366.01,33.74,1,2.61,12,5.34,6,12.28,1,20.09,1,12.59,1,15.11,1,12.56,1,10.17,1,8.77,3,6.24,8,5.66,9,7.53,5,7.37,3,8.72,2,8.57,-,29.06
DSP Strategic Bond Fund - Direct Plan,1015.21,29.73,2,5.39,9,6.76,2,10.94,2,17.03,2,11.34,2,13.18,2,10.73,2,9.39,3,8.59,6,6.66,5,5.86,8,8.04,3,7.22,6,8.15,6,8.2,-,31.36
HDFC Dynamic Debt Fund - Direct Plan,679.4,26.7,5,6,7,4.83,9,6.64,7,12.67,6,9.25,6,9.79,7,9.12,6,8.46,4,8.23,7,5.88,9,6.97,3,7.57,4,6.06,11,7.64,9,7.77,-,13.98
ICICI Prudential All Seasons Bond Fund - Direct Plan,12570.68,18.77,9,7.09,4,6.26,4,5.38,11,10.13,8,8.55,7,8.53,11,8.61,9,8.26,6,8.78,2,6.9,3,6.93,4,8.15,2,7.78,2,9.31,1,9.71,-,8.15
Kotak Dynamic Bond Fund - Direct Plan,2517.92,29.52,3,5.88,8,4.58,10,8.44,3,14.91,3,9.54,4,11.31,3,10.54,3,9.41,2,8.59,5,6.51,6,6.29,6,7.51,6,7.83,1,8.68,3,8.8,-,22.02
Mirae Asset Dynamic Bond Fund - Direct Plan,152.53,12.8,11,7.68,1,8.19,1,7.83,4,8.65,12,7.4,10,7.95,12,7.64,12,7.14,12,7.33,12,5.11,12,4.72,12,6.53,10,6.77,8,-,-,6.9,-,2.66
Nippon India Dynamic Bond Fund - Direct Plan,4606.22,-40.08,12,4.07,11,3.84,11,5.79,10,10.01,11,7.97,9,9.74,8,7.97,10,7.33,10,8.13,8,5.69,10,5.31,11,6.5,11,6.32,9,7.76,8,7.76,-,6.03
SBI Dynamic Bond Fund - Direct Plan,3093.78,26.56,6,7.58,2,5.48,5,7.77,5,13.95,4,9.99,3,10.76,4,9.58,4,8.42,5,8.68,4,6.72,4,5.98,7,7.49,7,7.37,4,8.64,4,8.28,-,16.9
UTI Dynamic Bond Fund - Direct Plan,581.37,22.34,7,5.08,10,3.16,12,2.74,12,10.03,10,8.06,8,9.9,5,8.67,8,8.05,8,7.4,11,11.2,1,9.05,1,8.64,1,6.17,10,7.81,7,8.11,-,9.42
NIFTY Composite Debt Index,,12.48,,4.72,,5.2,,6.59,,10.45,,7.84,,9.22,,8.38,,7.66,,7.98,,5.74,,5.69,,7.12,,6.95,,7.92,,,,
NIFTY Composite Debt Index B-III,,11.09,,2.54,,5.11,,6.21,,9.15,,7.28,,8.52,,7.84,,7.45,,8.2,,6.2,,6.66,,7.62,,7.08,,8.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Risk Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,8,,12,
Peer Average,,13.55,,7.69,,7.17,,8.2,,9.4,,8.13,,8.58,,9.28,,8.84,,8.31,,7.94,,8.02,,6.77,,6.53,,7.45,,,,
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,927.05,16.64,2,9.12,1,7.21,7,15.73,1,13.57,1,11.1,1,10.05,1,9.2,3,8.74,3,9.62,2,8.04,5,8.64,4,7.69,6,7.49,4,-,-,8.29,-,4.02
Axis Credit Risk Fund - Direct Plan,452.65,12.03,8,7.17,10,7.71,4,7.34,7,8.8,6,8.03,6,8.42,7,8.17,8,7.99,8,7.86,7,6.77,8,7.3,10,7.69,7,7.11,6,-,-,8.15,-,2.38
Bandhan Credit Risk Fund - Direct Plan,346.14,14.92,3,8.15,5,7.76,3,7.7,4,9.28,5,8.21,4,8.29,10,8.08,10,7.54,11,7.23,12,5.94,11,6.12,12,6.7,9,6.81,8,-,-,6.97,-,3.69
Baroda BNP Paribas Credit Risk Fund Direct,149.05,13.44,5,6.73,11,7.01,8,7.44,6,8.61,10,8.04,5,8.56,6,8.38,6,8.27,6,8.24,5,9.9,3,11.26,1,8.48,2,7.74,2,-,-,8.84,-,2.76
DSP Credit Risk Fund - Direct Plan,194.02,13.76,4,8.48,3,7.5,6,6.97,8,8.78,8,8.01,7,8.35,9,19.03,1,16.37,1,11.74,1,10.63,2,9.65,2,8.49,1,6.53,9,7.64,5,7.92,-,2.96
HDFC Credit Risk Debt Fund - Direct Plan,7980.05,12.74,7,7.44,9,6.27,10,6.59,10,8.63,9,6.97,12,8.37,8,8.14,9,7.84,9,7.65,9,6.45,10,7.5,7,7.93,4,7.6,3,8.65,2,8.79,-,3.2
HSBC Credit Risk Fund - Direct Plan,576,13.25,6,8.27,4,7.65,5,6.89,9,8.36,11,7.72,8,7.67,12,7.37,12,7.56,10,7.32,11,6.55,9,7.41,8,5.86,10,5.72,10,7.09,6,7.21,-,3.16
ICICI Prudential Credit Risk Fund - Direct Plan,6912.5,11.8,9,8.83,2,6.48,9,5.54,12,9.66,4,7.67,9,8.6,4,8.97,4,8.57,4,8.07,6,7.12,7,7.65,6,8.23,3,8.09,1,8.73,1,8.86,-,3.08
Kotak Credit Risk Fund - Direct Plan,822.11,22.29,1,7.98,6,6.15,11,7.58,5,9.79,3,7.27,10,9.44,2,9.74,2,9.16,2,7.76,8,5.78,12,6.43,11,6.76,8,6.95,7,8.08,4,8.21,-,3.01
Nippon India Credit Risk Fund - Direct Plan,1028.69,10.96,10,7.83,7,8.47,1,8.07,3,8.79,7,8.24,3,8.59,5,8.35,7,8.42,5,8.31,4,9.25,4,9.28,3,5.58,11,5.51,11,6.93,7,7.32,-,2.15
SBI Credit Risk Fund - Direct Plan,2463.93,10.68,11,7.74,8,8,2,12.98,2,10.86,2,9.31,2,8.87,3,8.4,5,8.16,7,8.48,3,7.14,6,7.34,9,7.76,5,7.4,5,8.36,3,8.63,-,3.92
UTI Credit Risk Fund - Direct Plan,389.99,10.13,12,4.58,12,5.81,12,5.55,11,7.63,12,7.04,11,7.75,11,7.48,11,7.44,12,7.45,10,11.7,1,7.71,5,0.05,12,1.42,12,4.14,8,4.95,-,2.86
NIFTY Credit Risk Bond Index,,10.51,,6.57,,6.84,,7.66,,8.11,,7.78,,8.35,,8.25,,8.55,,8.94,,7.68,,8.11,,8.68,,8.25,,8.79,,,,
NIFTY Credit Risk Bond Index C-III,,11.62,,7.01,,7.31,,7.9,,8.21,,7.71,,8.52,,8.68,,9.01,,9.49,,8.24,,8.39,,8.96,,8.56,,9.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium to Long Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,
Peer Average,,22.9,,7.24,,5.14,,5.75,,11.78,,8.66,,9.66,,8.93,,7.72,,8.04,,6.52,,5.94,,6.96,,6.44,,7.81,,,,
Aditya Birla Sun Life Income Fund - Direct Plan,1848.85,22.77,4,7.14,4,6.18,1,6.84,2,12.34,2,9.05,2,9.46,5,8.7,5,7.4,6,7.57,5,5.82,5,5.78,4,7.19,3,6.92,4,8.19,3,7.91,-,11.97
ICICI Prudential Bond Fund - Direct Plan,2957.93,21.53,5,6.49,6,4.5,6,3.99,7,10.3,7,8.05,6,8.71,7,8.6,6,7.95,2,8.32,3,6.16,4,5.94,3,7.46,1,7.18,1,8.19,2,8.09,-,10.07
Kotak Bond Fund - Direct Plan,1903.4,23.36,3,6.92,5,5.24,4,7.48,1,12.57,1,9.36,1,10.19,2,9.73,1,8.58,1,8.57,2,6.31,3,5.97,2,7.43,2,7.01,3,8.06,4,7.8,-,15.03
HDFC Income Fund - Direct Plan,754.3,20.16,6,9.16,1,5.69,2,6.06,3,12.12,4,8.68,4,10.22,1,9.16,3,7.94,3,8.26,4,5.71,6,5.4,6,6.39,6,5.78,6,7.35,6,7.22,-,11.67
Bandhan Bond Fund Income Plan - Direct Plan,491.25,28.07,2,8,2,5.23,5,6,4,12.22,3,8.68,5,10.05,3,9.08,4,7.41,5,7.22,7,4.94,7,4.47,7,6.27,7,6.39,5,7.94,5,7.86,-,11.89
Nippon India Income Fund - Direct Plan,324.28,28.57,1,7.85,3,5.31,3,5.46,5,11.99,5,8.84,3,9.85,4,9.18,2,7.91,4,8.91,1,6.45,2,5.6,5,7.09,4,7.15,2,8.29,1,8.03,-,10.73
UTI Medium to Long Duration Fund - Direct Plan,300.38,15.83,7,5.1,7,3.85,7,4.44,6,10.92,6,7.98,7,9.15,6,8.04,7,6.88,7,7.42,6,10.27,1,8.44,1,6.88,5,4.63,7,6.68,7,6.86,-,10
CRISIL Composite Bond Index ( 02-Jul-2024 ) ,,17.05,,1.49,,6.53,,8.74,,11.08,,8.2,,9.42,,8.37,,7.64,,8,,5.69,,5.39,,6.93,,6.77,,7.97,,,,
CRISIL Medium to Long Duration Debt A-III Index ( 02-Jul-2024 ) ,,13.27,,0.07,,4.79,,6.44,,9.94,,7.43,,8.43,,7.86,,7.08,,7.74,,5.38,,5.22,,7.03,,6.82,,8.07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilt Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,
Peer Average,,28.37,,5.56,,4.67,,6.88,,13.81,,9.95,,11.14,,10.01,,8.68,,8.46,,6.26,,5.64,,7.17,,7.08,,8.68,,,,
Aditya Birla Sun Life Government Securities Fund - Direct Plan,1777.83,28.12,7,5.07,11,3.49,12,7.35,4,14.61,4,10.02,8,11.59,4,10.53,4,8.9,5,8.4,7,6.24,7,5.78,7,7.32,7,7.26,7,9.11,3,8.92,-,19.64
SBI Magnum Gilt Fund - Direct Plan,8756.76,30.71,4,6,5,3.7,11,6.49,7,13.86,8,10.3,5,10.74,7,9.8,8,8.46,8,8.71,5,6.78,2,6.17,2,7.72,4,7.49,4,9.35,2,9.29,-,16.26
ICICI Prudential Gilt Fund - Direct Plan,6289.29,19.8,13,5.64,9,4.26,10,3.67,12,10.16,12,8.13,12,8.43,13,8.15,13,8.35,9,9.09,2,6.85,1,6.24,1,7.92,2,7.44,5,9.11,4,8.63,-,10.6
Kotak Gilt Investment - Direct Plan,3422.09,32.87,2,5.49,10,5.3,3,9.85,3,16.1,3,11.19,3,10.62,8,10.06,7,9.04,4,9.15,1,6.7,4,6.13,4,7.65,5,7.42,6,8.9,6,8.41,-,28.72
