Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Commodity Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,2,,3,,3
Peer Average,,8.74,,1.49,,1.57,,0.85,,0.36,,5.27,,4.52,,12,,25.62,,12.28,,15.54,,3.42,,9.78,,8.23,,3.74,,3.59,,4.78,,21.97,,4.61,
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,267.44,16.23,1,0.57,3,0.28,2,-0.29,2,4.54,1,8.84,1,5.28,2,17.38,1,29.09,2,24.06,1,16.51,2,5.94,1,14.22,1,11.56,1,5.31,1,5.93,1,6.6,1,29.09,1,5.86,-
DSP World Energy Fund - Regular Plan,140.86,-2.68,3,1.6,2,0.13,3,-1.84,3,-3.41,3,1.22,3,1.61,3,1.32,3,14.91,3,-2.43,3,13.29,3,2.13,3,6.64,3,6.03,3,1.32,3,3.9,2,-,-,10.14,3,3.95,-
DSP World Gold FoF - Regular Plan,907.21,12.68,2,2.31,1,4.32,1,4.67,1,-0.06,2,5.76,2,6.68,1,17.31,2,32.86,1,15.22,2,16.82,1,2.19,2,8.48,2,7.08,2,4.6,2,0.94,3,2.95,2,26.69,2,4.02,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Allocation Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,25,,22,,19,,14,,12,,,,,,27,,27
Peer Average,,12.38,,0.41,,1.05,,1.71,,2.99,,5.67,,7.17,,12.62,,21.17,,25.95,,21.95,,15.25,,14.87,,12.7,,12.3,,,,,,21.07,,14.22,
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,210.21,16.24,3,0.58,4,1.41,4,2.1,7,3.6,8,6.9,4,9.16,3,16.18,3,27.3,4,35.01,3,24.97,5,16.23,7,17.46,4,13.58,5,-,-,-,-,-,-,27.24,4,13.02,-
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,7181.78,12.36,12,0.4,16,0.88,19,1.6,17,3.31,10,6.32,8,8.08,9,12.61,11,19.96,13,23.47,16,20.47,13,13.65,14,14.17,8,11.83,9,12.17,7,-,-,-,-,19.81,13,12.87,-
Axis Balanced Advantage Fund - Direct Plan,2183.67,14.64,5,0.46,11,1.17,8,2.32,3,3.45,9,8.27,1,8.54,6,15.44,5,25.13,6,29.79,6,22.53,9,15.27,8,13.49,14,-,-,-,-,-,-,-,-,25.28,5,11.77,-
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,18.44,10.94,19,0.35,20,1.02,12,1.79,14,3.95,6,5.48,16,6.53,17,11.1,19,18.78,18,21.35,23,18.11,22,12.03,19,11.49,18,9.83,13,10.18,11,-,-,-,-,18.79,18,10.52,-
Bandhan Balanced Advantage Fund - Direct Plan,2216.86,11.34,17,0.37,18,1.01,13,1.63,16,2.61,16,4.83,22,6.92,16,11.61,18,17.48,25,20.57,24,18.81,19,11.8,20,12.66,15,11.48,10,-,-,-,-,-,-,17.65,25,10.38,-
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,3833.86,12.65,9,0.43,15,0.89,18,1.39,20,2.21,24,5.2,18,7.03,15,13.04,9,22.89,8,26.67,11,25.35,4,16.5,6,17.94,3,-,-,-,-,-,-,-,-,22.83,8,17.39,-
DSP Dynamic Asset Allocation Fund - Direct Plan,3125.59,10.64,21,0.33,21,0.65,23,1.15,23,2.69,14,6,10,8.59,5,10.68,22,18.31,20,22.58,19,18.42,20,11.35,21,12.42,16,10.73,12,10.42,10,-,-,-,-,18.32,20,10.78,-
Edelweiss Balanced Advantage Fund - Direct Plan,11281.66,13.51,6,0.49,8,1.27,6,1.83,12,2.28,23,5.08,19,7.5,11,14.12,6,23.37,7,26.98,9,22.4,10,15.14,10,17.01,5,14.34,3,13.16,4,-,-,-,-,23.32,7,13.68,-
Franklin India Balanced Advantage Fund - Direct Plan,1912.01,12.94,8,0.2,25,0.42,27,1.3,22,2.63,15,5.6,14,7.22,13,13.18,7,21.13,11,28.28,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.22,11,20.42,-
Franklin India Dynamic Asset Allocation Fund of Funds - Direct Plan,1294.88,10.39,24,0.22,23,0.7,22,1.48,18,2.29,22,4.7,23,5.92,23,10.58,24,18.09,23,27.8,8,22.77,8,17.72,4,14.11,9,12.39,7,12.09,8,-,-,-,-,18.2,21,12.23,-
HDFC Asset Allocator FoF - Direct Plan,3053.79,12.16,13,0.47,10,0.82,21,1.47,19,2.56,17,5.05,20,6.48,20,12.23,14,21.99,9,26.93,10,23.94,7,17.29,5,-,-,-,-,-,-,-,-,-,-,21.65,9,18.8,-
HDFC Balanced Advantage Fund - Direct Plan,86471.32,16.86,2,0.63,2,1.14,9,1.97,10,1.01,27,5.94,11,8.86,4,16.59,2,30.44,1,41.6,1,34.09,1,25.2,1,19.81,2,16.77,2,15.43,2,-,-,-,-,30.21,1,16.85,-
HSBC Balanced Advantage Fund - Direct Plan,1389.99,11.39,16,0.22,24,0.97,16,2.13,5,4.23,3,4.96,21,6.19,21,11.61,17,19.92,14,24.71,14,19.45,18,12.88,16,12.34,17,10.95,11,10.77,9,-,-,-,-,19.64,14,12.53,-
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan #,21776.9,10.52,22,-0.02,27,0.58,25,0.95,25,3.03,11,3.79,27,5.11,25,10.39,26,18.11,22,22.81,18,19.65,17,15.2,9,15.53,6,13.69,4,13.3,3,-,-,-,-,18.11,23,13.07,-
ICICI Prudential Balanced Advantage Fund - Direct Plan,56750.35,10.18,26,0.25,22,0.48,26,0.86,27,2.53,18,4.31,24,4.95,27,10.5,25,17.88,24,22.23,21,18.37,21,14.18,13,13.93,12,12.58,6,12.65,5,-,-,-,-,17.74,24,13.54,-
Kotak Balanced Advantage Fund - Direct Plan,15830.08,12.14,14,0.46,13,1.31,5,2.05,8,3.99,5,6.94,3,8.11,8,12.51,12,19.55,15,22.42,20,19.66,16,13.47,15,14.02,10,-,-,-,-,-,-,-,-,19.32,15,13.14,-
Kotak Multi Asset Allocator FoF -  Dynamic - Direct Plan,1453.75,17.3,1,0.64,1,0.92,17,1.02,24,2.85,13,6.94,2,9.18,2,17.71,1,27.49,2,33.2,4,31.04,2,21.2,2,22.3,1,17.6,1,15.79,1,-,-,-,-,27.4,2,16.75,-
LIC MF Balanced Advantage Fund - Direct Plan,868.01,10.25,25,0.51,7,1.66,2,2.72,1,4.16,4,6.59,7,7.73,10,10.64,23,16.92,26,18.46,27,18.08,23,-,-,-,-,-,-,-,-,-,-,-,-,16.65,26,12.22,-
Mirae Asset Balanced Advantage Fund - Direct Plan,1589.97,10.8,20,0.46,12,1,14,1.8,13,3.02,12,5.63,13,7.04,14,10.96,21,18.62,19,23.39,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.56,19,17.79,-
Nippon India Asset Allocator FoF - Direct Plan,223.94,16,4,0.63,3,1.58,3,1.88,11,3.92,7,6.77,6,9.57,1,15.97,4,27.35,3,35.9,2,29.63,3,20.72,3,-,-,-,-,-,-,-,-,-,-,27.24,3,22.8,-
Nippon India Balanced Advantage Fund - Direct Plan,8042.99,12.54,11,0.52,6,1.12,10,2,9,2.52,19,5.49,15,7.35,12,12.8,10,21.62,10,26.53,12,20.96,12,14.58,12,13.99,11,12.23,8,12.22,6,-,-,-,-,21.56,10,13.07,-
NJ Balanced Advantage Fund - Direct Plan,3860.71,12.95,7,0.57,5,2.6,1,2.45,2,4.25,2,6.2,9,6.52,18,13.13,8,25.4,5,32.03,5,24.01,6,-,-,-,-,-,-,-,-,-,-,-,-,25.07,6,14.04,-
PGIM India Balanced Advantage Fund - Direct Plan,1102.25,11.22,18,0.45,14,1.24,7,2.3,4,4.78,1,6.87,5,8.13,7,11.86,16,18.24,21,18.96,25,19.94,15,12.71,17,-,-,-,-,-,-,-,-,-,-,18.15,22,13.84,-
Quantum Multi Asset Fund of Funds - Direct Plan,55.6,9.52,27,0.36,19,0.83,20,1.31,21,2.34,21,4.24,25,5.09,26,9.95,27,16.84,27,18.55,26,15.88,25,11.26,22,10.9,19,9.81,14,9.44,12,-,-,-,-,16.5,27,10.03,-
SBI Balanced Advantage Fund - Direct Plan,30096.32,12.6,10,0.17,26,0.64,24,0.89,26,1.83,26,3.85,26,5.23,24,12.49,13,20.34,12,24.75,13,21.79,11,-,-,-,-,-,-,-,-,-,-,-,-,20.13,12,15.11,-
Tata Balanced Advantage Fund - Direct Plan,9275.7,11.69,15,0.37,17,0.97,15,1.7,15,2.19,25,5.34,17,5.95,22,11.88,15,19.48,16,23.54,15,20.46,14,14.94,11,15.21,7,-,-,-,-,-,-,-,-,19.3,16,15.35,-
Union Balanced Advantage Fund - Direct Plan,1594.75,10.47,23,0.48,9,1.12,11,2.11,6,2.46,20,5.75,12,6.51,19,11,20,19,17,22.08,22,18.04,24,12.2,18,13.75,13,-,-,-,-,-,-,-,-,18.94,17,11.89,-
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,10.41,,-0.07,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,18.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Allocator Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,8,,8,,7,,7,,4,,12,,12
Peer Average,,11.97,,0.41,,1,,1.49,,3.14,,5.3,,6.66,,12.15,,20.84,,25.26,,20.89,,14.33,,13.12,,10.91,,11.4,,12.08,,11.75,,20.67,,12.94,
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,210.21,15.62,2,0.58,4,1.39,2,2.06,2,3.53,5,6.7,3,8.86,3,15.57,2,26.28,3,33.53,2,23.59,3,15.04,5,16.55,2,12.87,2,13.24,2,13.88,2,9.45,4,26.21,3,10.77,-
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,17.92,13.63,5,0.44,7,1.31,4,2.4,1,5.06,1,6.94,1,8.25,4,13.9,5,24.14,5,27.61,5,22.61,5,14.17,7,13.26,4,10.59,5,10.63,5,11.32,5,-,-,24.1,5,10.73,-
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,6.14,6.73,12,0.17,11,0.55,12,1,10,2,12,3.12,12,3.77,12,6.75,12,11.02,12,12.72,12,11.38,12,7.92,12,7.82,8,7.21,7,8.03,7,8.56,7,-,-,11.03,12,8.25,-
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,18.44,10.59,7,0.35,8,1.01,6,1.77,4,3.89,2,5.37,6,6.36,6,10.76,7,18.22,7,20.59,9,17.38,9,11.33,10,10.77,6,9.12,6,9.52,6,10.07,6,-,-,18.22,7,9.73,-
Franklin India Dynamic Asset Allocation Fund of Funds,1294.88,9.87,9,0.22,10,0.68,10,1.45,7,2.22,11,4.54,8,5.68,8,10.07,8,17.28,10,26.64,6,21.63,7,16.62,3,13,5,11.27,4,10.97,4,11.46,4,10.84,3,17.38,9,14.17,-
Franklin India Multi Asset Solution Fund of Funds,53.6,9.57,11,0.26,9,0.78,9,1.17,8,2.93,7,3.99,10,4.89,10,10.07,9,17.52,9,20.21,10,14.86,11,11.85,9,7.92,7,6.96,8,-,-,-,-,-,-,16.98,11,6.65,-
HDFC Asset Allocator FoF - Regular Plan,3053.79,11.55,6,0.48,6,0.85,8,1.47,6,2.53,9,4.93,7,6.27,7,11.7,6,21.06,6,25.64,7,22.56,6,15.94,4,-,-,-,-,-,-,-,-,-,-,20.71,6,17.39,-
ICICI Prudential Asset Allocator (FOF) Fund #,21776.9,9.94,8,-0.02,12,0.55,11,0.91,12,2.93,6,3.6,11,4.84,11,9.82,11,17.19,11,21.53,8,18.31,8,13.91,8,14.16,3,12.59,3,12.4,3,12.51,3,12.15,2,17.19,10,12.35,-
Kotak Multi Asset Allocator FoF -  Dynamic Regular Plan,1453.75,16.88,1,0.63,1,0.91,7,1,11,2.79,8,6.82,2,8.99,2,17.3,1,26.82,1,32.24,3,30.04,1,20.25,1,21.48,1,16.71,1,15.04,1,16.79,1,14.57,1,26.71,1,16.73,-
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,13.96,4,0.62,3,1.33,3,1.69,5,3.68,4,6.57,5,7.42,5,14.41,4,26.04,4,28.07,4,23.27,4,14.6,6,-,-,-,-,-,-,-,-,-,-,25.48,4,15.47,-
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,41.39,9.8,10,0.53,5,1.06,5,1.09,9,2.33,10,4.37,9,5.27,9,10.01,10,17.94,8,19.66,11,16.7,10,10.85,11,-,-,-,-,-,-,-,-,-,-,17.62,8,11.44,-
Nippon India Asset Allocator FoF - Regular Plan,223.94,15.49,3,0.63,2,1.57,1,1.84,3,3.84,3,6.61,4,9.33,1,15.48,3,26.51,2,34.69,1,28.32,2,19.5,2,-,-,-,-,-,-,-,-,-,-,26.39,2,21.56,-
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,10.41,,-0.07,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,18.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Planning Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,,,3,,3
Peer Average,,13.05,,0.5,,1.14,,1.59,,3.67,,6.41,,8.25,,13.02,,21.58,,27.29,,21.46,,14.2,,14.37,,11.7,,11.35,,11.77,,,,21.47,,11.11,
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,203.07,16.49,1,0.65,1,1.46,1,2.04,1,4.76,1,8.29,1,10.69,1,16.5,1,27.53,1,34.81,1,27.12,1,17.26,1,17.31,1,13.75,1,13.53,1,14.4,1,-,-,27.41,1,13.14,-
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,18.27,9.62,3,0.35,3,0.8,3,1.13,3,2.57,3,4.55,3,5.83,3,9.57,3,15.65,3,19.84,3,16.03,3,11.19,3,11.43,3,9.62,3,9.26,3,9.3,3,-,-,15.55,3,9.18,-
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,34.53,13.03,2,0.49,2,1.15,2,1.58,2,3.69,2,6.4,2,8.23,2,12.99,2,21.56,2,27.22,2,21.23,2,14.16,2,14.37,2,11.74,2,11.25,2,11.6,2,-,-,21.45,2,11.01,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,10,,5,,12,,12
Peer Average,,8.52,,1.31,,0.89,,0.64,,2.67,,4.26,,4.05,,11.2,,22.54,,15.2,,14.76,,0.67,,7.89,,8.08,,4.65,,6.22,,7.16,,20.12,,5.09,
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,267.44,16.23,4,0.57,11,0.28,8,-0.29,9,4.54,5,8.84,4,5.28,7,17.38,5,29.09,4,24.06,5,16.51,4,5.94,2,14.22,3,11.56,4,5.31,5,5.93,5,6.6,3,29.09,4,5.86,-
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan #,189.99,18.4,3,0.55,12,0.06,11,-0.63,11,5.29,4,10.97,1,7.37,1,19.61,3,33.79,3,30.72,3,28.54,2,11.4,1,10.36,5,9.11,5,6.88,3,7.77,3,10.3,1,33.79,3,7.27,-
DSP World Energy Fund - Regular Plan,140.86,-2.68,11,1.6,4,0.13,9,-1.84,12,-3.41,12,1.22,10,1.61,11,1.32,11,14.91,10,-2.43,11,13.29,5,2.13,6,6.64,7,6.03,7,1.32,8,3.9,9,-,-,10.14,10,3.95,-
DSP World Mining Fund - Regular Plan,165.75,0.84,10,2.28,2,2.71,1,3.12,2,-2.86,11,-1.18,11,1.92,10,3.82,10,12.25,11,2.72,10,11.08,6,3.99,5,13.9,4,13.75,3,5.82,4,4.24,7,-,-,7.25,11,3.49,-
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan,110.66,8.42,7,0.87,9,0.09,10,-0.2,8,3.51,7,3.6,8,5.27,8,10.9,7,17.72,7,9.92,8,8.33,10,-5.21,10,3.9,9,5.47,9,-,-,-,-,-,-,16.24,7,4.41,-
Franklin India Feeder - Templeton European Opportunities Fund,16.26,3.48,9,1.73,3,1.89,3,1.12,3,-0.87,9,5.06,7,5.63,6,6.12,9,16.85,9,7.64,9,10.46,7,1.82,7,2.23,10,1.26,11,0.07,10,-,-,-,-,11.94,9,0.44,-
Franklin India Feeder Franklin US Opportunities Fund,3427.18,19.95,2,0.59,10,0.9,5,0.72,6,7.24,1,8.94,3,6.8,4,23.81,2,39.74,2,35.03,1,27.75,3,5.53,3,16.01,2,17.33,1,14.44,1,16.36,1,-,-,37.95,2,16.74,-
HSBC Brazil Fund,36.82,-18.6,12,2.67,1,2.29,2,4.21,1,-1.64,10,-9.74,12,-9.5,12,-16.33,12,-0.08,12,-10.76,12,7.39,11,-7.04,11,-5.71,12,0.13,12,-3.2,11,-2.54,10,-,-,-4.29,12,-3.1,-
HSBC Global Emerging Markets Fund,32.85,11.21,6,1.06,7,-0.35,12,-0.58,10,3.59,6,5.47,6,6.3,5,13.88,6,18.43,6,10.32,7,5.48,12,-2.99,9,6.29,8,5.89,8,4.88,6,5.84,6,5.91,4,16.83,6,3.97,-
Kotak Global Emerging Market - Regular Plan,91.68,8.31,8,1.35,6,0.86,6,0.8,4,3.27,8,2.55,9,3.73,9,10.23,8,17.55,8,14.94,6,8.76,8,-1.9,8,7.39,6,7.08,6,4.45,7,6.61,4,7.75,2,15.68,8,4.99,-
PGIM India Emerging Markets Equity Fund,99.57,14.33,5,1.59,5,1.03,4,0.75,5,6.3,3,5.69,5,7.31,2,17.53,4,28.66,5,27.65,4,8.46,9,-10.57,12,2.01,11,2.03,10,1.25,9,3.99,8,5.22,5,27.43,5,2.31,-
PGIM India Global Equity Opportunities Fund,1380.08,22.34,1,0.88,8,0.8,7,0.52,7,7.04,2,9.74,2,6.85,3,26.11,1,41.62,1,32.63,2,31.08,1,4.99,4,17.42,1,17.29,2,9.88,2,10.12,2,-,-,39.44,1,10.79,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,10,,10,,10,,10,,10,,9,,,,13,,13
Peer Average,,14.17,,0.65,,1.01,,0.61,,0.54,,1.61,,4.6,,14.36,,25.56,,23.18,,16.87,,13.76,,14.77,,12.85,,8.44,,6.22,,,,23.73,,10.53,
Aditya Birla Sun Life Gold Fund - Regular Plan,353.76,13.03,13,0.51,8,0.98,8,0.79,3,0.25,12,0.76,11,3.36,13,13.41,13,25.9,3,22.24,13,16.81,8,13.55,9,14.62,8,12.49,10,8.46,7,6.31,3,-,-,23.04,13,6.39,-
Axis Gold Fund,495.31,13.87,7,0.49,10,0.97,9,0.48,11,0.49,8,1.22,6,3.98,7,14.25,4,25.49,9,22.93,8,17.24,1,14.03,1,15.29,1,13.08,2,8.06,9,5.75,9,-,-,23.75,7,6.26,-
Edelweiss Gold and Silver ETF FoF - Regular Plan,95.98,16.95,1,1.02,2,1.51,1,0.5,8,0.01,13,5.99,1,9.76,1,17.49,1,25.69,6,24.29,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.05,12,23.66,-
HDFC Gold Fund,2041.53,13.56,10,0.38,12,0.66,12,0.4,12,0.37,10,0.88,9,3.82,9,13.76,11,25.63,8,22.72,12,16.96,4,13.69,7,14.68,7,12.94,5,8.58,4,6.26,5,-,-,23.69,8,6.45,-
ICICI Prudential Regular Gold Savings Fund (FOF),965.8,14.27,3,0.78,4,1.07,5,0.64,4,0.78,3,1.33,4,4.25,4,14.18,5,25.11,11,23.28,6,16.88,6,13.8,5,14.84,5,12.82,7,8.64,2,6.46,1,-,-,24.24,1,6.72,-
