Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,535.67,-,-,-,-,1.24,26,2.51,27,3.23,27,5.52,28,8.78,29,8.66,29,11.08,28,11.75,27,6.91,26,8.46,23,7.08,22,-,-,-,-,-,-,-,-,7.73,-,5.52,28
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,666.43,-,-,-,-,7.9,3,14.01,2,13.62,7,17.57,16,27.1,20,27.2,19,31.85,20,25.15,21,13.73,18,-,-,-,-,-,-,-,-,-,-,-,-,16.1,-,16.04,18
Aditya Birla Sun Life Focused Fund - Regular Plan,7151.96,-,-,-,-,5.31,15,9.22,13,10.09,19,19.17,11,30.7,10,30.35,10,36.04,14,27.76,16,17.57,12,16.93,11,14.1,7,13.57,13,16.13,9,14.95,9,-,-,14.91,-,17.99,12
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,267.44,-,-,-,-,4.54,21,8.84,18,5.28,24,17.38,18,29.09,15,29.09,15,24.06,24,16.51,26,5.94,27,14.22,14,11.56,15,5.31,21,5.93,20,6.6,18,-,-,5.86,-,16.23,17
Aditya Birla Sun Life Gold Fund - Regular Plan,353.76,-,-,-,-,0.25,28,0.76,29,3.36,26,13.41,22,25.9,21,23.04,23,22.24,25,16.81,25,13.55,19,14.62,13,12.49,12,8.46,18,6.31,19,-,-,-,-,6.39,-,13.03,23
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,1146.32,-,-,-,-,1.77,24,11.48,5,15.34,4,30.43,1,43.11,2,44.13,2,62.29,2,53.1,2,30.25,2,24.63,2,16.89,2,15.49,5,17.58,7,14.13,11,-,-,13.37,-,30.96,1
Aditya Birla Sun Life International Equity Fund - Regular Plan,186.86,-,-,-,-,-0.47,29,0.55,30,-1.53,30,2.9,30,14.09,27,11.26,27,4.52,30,9.53,29,2.3,29,8.87,22,9.99,20,7.64,19,9.45,17,10.29,16,-,-,7.35,-,1.1,30
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,5583.9,-,-,-,-,6.17,11,11.13,6,13.75,6,21.81,4,32.26,9,32.35,9,41.48,10,31.73,8,20.47,6,-,-,-,-,-,-,-,-,-,-,-,-,23.08,-,21.27,5
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,683.18,-,-,-,-,4.16,22,2.98,25,2.94,28,12.43,24,28.52,18,27.98,18,44.04,8,29.03,12,12.63,23,-,-,-,-,-,-,-,-,-,-,-,-,22.32,-,15.67,21
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,4711.18,-,-,-,-,-4.01,30,2.53,26,8.13,21,28.29,2,60.61,1,61.05,1,91,1,63.61,1,40.09,1,-,-,-,-,-,-,-,-,-,-,-,-,32.53,-,29.41,2
Aditya Birla Sun Life Pure Value Fund - Regular Plan,5775.03,-,-,-,-,6.53,9,7.78,21,9.09,20,17.92,14,33.55,6,33.62,6,51.93,4,41.52,3,23.11,5,19.93,7,13.18,11,13.86,10,18.72,3,17.42,5,-,-,16.84,-,18.23,11
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,1386.89,-,-,-,-,1.6,25,3.46,24,4.25,25,6.63,27,9.86,28,9.86,28,11.82,27,11.16,28,8.88,25,9.14,21,7.36,21,9.3,17,10.23,16,9.57,17,9.56,11,9.45,-,6.37,26
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,714.83,-,-,-,-,6.67,8,9.08,17,12.14,11,19.66,8,33.05,7,32.82,7,42.97,9,30.53,10,18.48,9,-,-,-,-,-,-,-,-,-,-,-,-,25.56,-,19.47,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoFs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,8,,8,,8,,8,,8,,4,,,,11,,11
Peer Average,,1.08,,0.88,,3.28,,7.11,,7.88,,15.53,,25.66,,24.84,,27.2,,21.31,,11.72,,13.16,,10.9,,9.39,,9.55,,8.35,,,,,,14.92,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,22.61,0.14,10,0.23,9,0.68,9,1.53,10,1.86,11,3.89,11,5.59,11,5.64,11,7.2,11,6.8,10,5.21,8,6.38,8,6.02,8,7.19,6,7.24,6,7.04,3,-,-,7.33,-,3.92,11
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,210.21,1.39,5,2.06,1,3.53,6,6.7,7,8.86,5,15.57,7,26.28,7,26.21,6,33.53,4,23.59,4,15.04,2,16.55,2,12.87,2,13.24,2,13.88,2,9.45,2,-,-,10.77,-,15.62,7
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,203.07,1.46,4,2.04,2,4.76,3,8.29,5,10.69,2,16.5,6,27.53,5,27.41,5,34.81,2,27.12,3,17.26,1,17.31,1,13.75,1,13.53,1,14.4,1,-,-,-,-,13.14,-,16.49,5
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,18.27,0.8,8,1.13,5,2.57,8,4.55,9,5.83,8,9.57,10,15.65,10,15.55,10,19.84,10,16.03,9,11.19,6,11.43,6,9.62,6,9.26,4,9.3,4,-,-,-,-,9.18,-,9.62,10
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,34.53,1.15,6,1.58,3,3.69,5,6.4,8,8.23,6,12.99,9,21.56,9,21.45,9,27.22,6,21.23,6,14.16,3,14.37,4,11.74,4,11.25,3,11.6,3,-,-,-,-,11.01,-,13.03,9
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,267.44,0.28,9,-0.29,10,4.54,4,8.84,4,5.28,9,17.38,5,29.09,4,29.09,4,24.06,8,16.51,8,5.94,7,14.22,5,11.56,5,5.31,8,5.93,8,6.6,4,-,-,5.86,-,16.23,6
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan #,189.99,0.06,11,-0.63,11,5.29,2,10.97,2,7.37,7,19.61,3,33.79,2,33.79,2,30.72,5,28.54,2,11.4,5,10.36,7,9.11,7,6.88,7,7.77,5,10.3,1,-,-,7.27,-,18.4,3
Aditya Birla Sun Life Gold Fund - Regular Plan,353.76,0.98,7,0.79,6,0.25,10,0.76,11,3.36,10,13.41,8,25.9,8,23.04,7,22.24,9,16.81,7,13.55,4,14.62,3,12.49,3,8.46,5,6.31,7,-,-,-,-,6.39,-,13.03,8
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,14.03,1.54,3,1.44,4,2.68,7,6.99,6,10.56,3,18.16,4,31.56,3,31.91,3,38.67,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.6,-,18.3,4
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,371.53,1.95,2,0.75,7,8.78,1,12.51,1,10.16,4,22.42,1,37.82,1,36.11,1,34.49,3,34.57,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.41,-,19.12,2
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,140.04,2.17,1,0.61,8,-0.72,11,10.63,3,14.51,1,21.32,2,27.5,6,23.03,8,26.43,7,21.89,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.52,-,20.32,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanced Advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,19,,19,,19,,19,,19,,19,,19,,19,,19,,17,,14,,13,,8,,7,,6,,4,,2,,19,,19
Peer Average,,1.06,,1.76,,2.86,,5.53,,6.85,,11.78,,19.74,,19.61,,23.69,,19.87,,13.15,,13.31,,11.33,,11.25,,13.27,,13.26,,15.7,,,,11.47,
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,7181.78,0.86,15,1.55,14,3.21,7,6.1,5,7.76,5,11.96,9,18.92,9,18.76,9,22.06,10,19.05,8,12.28,8,12.84,6,10.53,5,11.05,5,12.17,5,11.06,4,12.74,2,9.92,-,11.69,9
Axis Balanced Advantage Fund - Regular Plan,2183.67,1.13,7,2.24,3,3.37,6,8.09,1,8.21,3,14.79,2,23.99,3,24.15,2,28.2,3,21.02,4,13.79,3,12.06,10,-,-,-,-,-,-,-,-,-,-,10.24,-,13.92,2
Bandhan Balanced Advantage Fund - Regular Plan,2216.86,0.99,10,1.58,13,2.5,11,4.6,17,6.58,13,10.9,12,16.36,18,16.51,18,19,17,17.21,14,10.26,13,11.12,11,9.93,6,-,-,-,-,-,-,-,-,8.89,-,10.62,13
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,3833.86,0.87,14,1.34,15,2.12,16,4.99,14,6.72,11,12.38,5,21.81,5,21.74,5,25.16,6,23.8,2,14.98,2,16.41,2,-,-,-,-,-,-,-,-,-,-,15.81,-,11.97,7
DSP Dynamic Asset Allocation Fund - Regular Plan,3125.59,0.62,16,1.1,17,2.59,9,5.79,8,8.27,2,10.02,18,17.24,16,17.24,15,21.11,14,16.99,15,9.99,14,10.88,12,9.24,8,9.1,7,-,-,-,-,-,-,9.48,-,9.96,16
Edelweiss Balanced Advantage Fund - Regular Plan,11281.66,1.26,4,1.8,10,2.18,15,4.89,15,7.2,8,13.46,3,22.29,4,22.2,4,25.45,5,20.89,5,13.67,4,15.44,3,12.88,2,11.91,2,12.44,4,-,-,-,-,11.29,-,12.83,3
Franklin India Balanced Advantage Fund - Regular Plan,1912.01,0.39,19,1.24,16,2.5,10,5.32,11,6.8,10,12.32,6,19.7,7,19.77,7,26.17,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.32,-,12.06,6
HDFC Balanced Advantage Fund,86471.32,1.13,8,1.94,9,0.96,19,5.82,7,8.69,1,16.22,1,29.83,1,29.6,1,40.73,1,33.23,1,24.41,1,19.07,1,15.9,1,14.54,1,16.43,1,16.38,1,18.67,1,18.69,-,16.49,1
HSBC Balanced Advantage Fund,1389.99,0.94,13,2.08,6,4.12,3,4.72,16,5.84,16,10.87,14,18.72,10,18.43,10,23.05,9,17.85,12,11.36,10,10.86,13,9.55,7,9.43,6,11.98,6,-,-,-,-,11.12,-,10.63,12
ICICI Prudential Balanced Advantage Fund,56750.35,0.48,18,0.83,19,2.47,12,4.21,18,4.79,19,10.16,17,17.35,15,17.18,16,21.48,13,17.63,13,13.45,5,13.24,5,11.75,3,11.64,3,13.38,2,13.06,2,-,-,11.53,-,9.84,18
Kotak Balanced Advantage Fund - Regular Plan,15830.08,1.29,3,2.01,7,3.9,5,6.74,2,7.8,4,11.86,10,18.52,11,18.28,11,21.01,15,18.26,10,12.09,9,12.66,7,-,-,-,-,-,-,-,-,-,-,11.81,-,11.48,10
LIC MF Balanced Advantage Fund - Regular Plan,868.01,1.63,2,2.65,1,4.02,4,6.3,4,7.29,7,9.74,19,15.48,19,15.19,19,16.5,19,16.1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.28,-,9.32,19
Mirae Asset Balanced Advantage Fund - Regular Plan,1589.97,0.98,11,1.75,11,2.91,8,5.39,10,6.67,12,10.19,16,17.4,14,17.31,14,21.7,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.13,-,10.02,15
Nippon India Balanced Advantage Fund,8042.99,1.1,9,1.95,8,2.42,13,5.27,12,7.03,9,12.13,7,20.52,6,20.45,6,24.99,7,19.46,7,13.1,7,12.49,9,10.85,4,11.06,4,13.23,3,12.53,3,-,-,15.42,-,11.85,8
NJ Balanced Advantage Fund - Regular Plan,3860.71,2.62,1,2.46,2,4.17,2,5.94,6,6.11,15,12.45,4,24.25,2,23.81,3,30.27,2,22.4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.56,-,12.17,4
PGIM India Balanced Advantage Fund - Regular Plan,1102.25,1.17,5,2.23,4,4.64,1,6.55,3,7.64,6,10.9,13,16.73,17,16.64,17,17.01,18,17.87,11,10.71,12,-,-,-,-,-,-,-,-,-,-,-,-,11.85,-,10.23,14
SBI Balanced Advantage Fund - Regular Plan,30096.32,0.62,17,0.86,18,1.76,18,3.7,19,4.99,18,11.99,8,19.53,8,19.31,8,23.63,8,20.66,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.94,-,12.08,5
Tata Balanced Advantage Fund - Regular Plan,9275.7,0.94,12,1.64,12,2.07,17,5.11,13,5.59,17,11.12,11,18.25,12,18.05,12,21.84,11,18.73,9,13.21,6,13.38,4,-,-,-,-,-,-,-,-,-,-,13.49,-,10.91,11
Union Balanced Advantage Fund - Regular Plan,1594.75,1.14,6,2.09,5,2.41,14,5.57,9,6.2,14,10.4,15,18.08,13,17.93,13,20.7,16,16.67,16,10.82,11,12.56,8,-,-,-,-,-,-,-,-,-,-,10.82,-,9.9,17
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,12.4,,,,10.41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive Hybrid Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,14,,13,,13,,12,,10,,15,,15
Peer Average,,1.31,,2.39,,4.23,,7.85,,9.54,,15.47,,24.39,,24.27,,29.45,,24.47,,15.95,,15.66,,13.06,,13.18,,14.7,,13.78,,15.64,,,,14.95,
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,7515.79,1.22,11,2.17,11,4.8,5,9.11,3,10.44,5,15.92,5,24.85,5,24.92,5,29.67,8,22.81,10,13.97,14,13.94,13,10.97,13,11.98,11,13.94,11,13.28,8,15.87,5,18.66,-,15.45,5
Axis Equity Hybrid Fund - Regular Plan,1575.04,1.36,7,2.59,6,5.26,2,8.5,6,9.72,6,13.44,14,20.26,14,20.33,14,22.31,15,18.56,15,11.25,15,13.04,14,-,-,-,-,-,-,-,-,-,-,11.89,-,12.65,14
Canara Robeco Equity Hybrid Fund - Regular Plan,10152.64,1.7,4,2.25,10,3.74,10,7.68,8,9.06,7,14.26,11,24.14,8,24.07,8,27.49,10,23.22,9,14.48,11,15.98,5,13.85,3,13.7,3,14.86,5,14.49,3,16.81,2,12.9,-,13.76,11
DSP Equity & Bond Fund,9131.81,1.77,3,2.78,2,6.73,1,9.61,2,12.49,3,14.78,8,23.81,9,23.81,9,30.64,6,26.22,5,14.62,10,16.36,4,13.42,5,14.06,2,14.62,7,13.62,5,15.8,6,14.96,-,14.27,8
Franklin India Equity Hybrid Fund,1806.96,0.73,15,1.91,14,2.97,14,6.86,13,8.28,11,15.04,6,24.77,7,24.73,6,32.24,5,25.9,7,15.84,6,15.96,6,13.19,8,13.55,5,14.74,6,13.29,7,15.07,8,14.13,-,14.52,6
HDFC Hybrid Equity Fund,23138.21,0.76,14,2.16,12,3.15,13,6.94,12,8.28,10,12.86,15,19.44,15,19.54,15,22.35,14,23.24,8,15.59,7,15.48,7,12.92,9,13.5,6,15.33,3,15.69,2,-,-,15.75,-,12.47,15
HSBC Aggressive Hybrid Fund,5441.86,1.79,2,2.65,5,4.09,8,9.01,4,13.11,1,20.96,1,28.73,1,29.06,1,34.92,2,28.31,2,16.47,5,15.3,8,11.99,11,13.1,8,15.1,4,-,-,-,-,13.49,-,19.67,1
ICICI Prudential Equity & Debt Fund,35122.02,0.79,13,1.88,15,2.43,15,5.02,15,6.43,15,16.84,4,28.41,2,27.65,2,38.09,1,29.96,1,24.45,1,21.21,1,17.27,1,16.38,1,18.14,1,17,1,17.3,1,15.63,-,16.47,4
Kotak Equity Hybrid Fund - Regular Plan,5621.16,1.84,1,2.69,4,5.2,4,10.52,1,12.83,2,19.03,2,27.92,3,27.6,3,33.37,4,25.91,6,17.55,3,18.33,2,14.4,2,13.6,4,14.28,8,13.2,9,15.66,7,14.94,-,18.62,2
Mirae Asset Aggressive Hybrid Fund - Regular Plan,8563.76,1.24,10,2.31,9,4.16,7,7.87,7,8.85,8,13.71,13,22.18,13,22.03,13,26.45,12,22.51,11,14.29,12,14.89,9,13.5,4,-,-,-,-,-,-,-,-,13.28,-,13.34,13
Nippon India Equity Hybrid Fund,3535.42,1.03,12,2,13,3.54,12,6.76,14,8.2,12,14.61,9,24.8,6,24.48,7,30.24,7,26.74,4,17.05,4,12.68,15,10.13,14,11.25,13,13.09,12,12.76,11,-,-,12.79,-,14.18,9
SBI Equity Hybrid Fund,68372.47,1.44,5,2.5,7,3.96,9,7,10,8.49,9,14.34,10,22.33,12,22.3,12,26.8,11,20.99,14,14.07,13,14.7,11,13.41,6,13.41,7,15.68,2,13.51,6,16.57,3,15.79,-,13.86,10
Sundaram Aggressive Hybrid Fund,4643.67,1.25,9,2.47,8,4.54,6,6.97,11,7.85,14,14.98,7,23.67,10,23.44,10,28.12,9,22.44,12,14.99,9,14.87,10,12.75,10,11.89,12,12.9,13,11.54,12,13.08,10,11.11,-,14.47,7
Tata Hybrid Equity Fund - Regular Plan,3740.61,1.42,6,2.71,3,3.65,11,7.17,9,8.15,13,14.22,12,22.85,11,22.61,11,24.9,13,22.37,13,15.51,8,14.4,12,11.67,12,12.06,10,14.22,9,13.99,4,16.38,4,15.19,-,13.72,12
UTI Aggressive Hybrid Fund - Regular Plan,5511.93,1.32,8,2.83,1,5.21,3,8.71,5,10.89,4,17.03,3,27.74,4,27.52,4,34.12,3,27.86,3,19.15,2,17.71,3,13.4,7,12.89,9,14.2,10,13,10,13.91,9,15.29,-,16.78,3
CRISIL Hybrid 35+65 Aggressive Index ( 02-Jul-2024 ) ,,0.94,,1.16,,4.88,,5.58,,7.01,,12.36,,21.74,,21.74,,25.84,,21.81,,14.59,,15.26,,13.57,,12.81,,13.67,,12.41,,13.83,,,,12.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Cap Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,11,,7,,13,,13
Peer Average,,1.54,,2.85,,5,,8.89,,9.92,,16.67,,28.13,,27.7,,32.31,,27.52,,17.43,,16.8,,14.68,,13.75,,15.49,,14.26,,16.92,,,,15.78,
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,27274.77,1.27,11,2.65,11,5.18,6,9.77,4,10.74,4,17.42,6,28.63,7,28.28,7,32.89,6,28.12,6,18.26,4,17.09,5,13.9,11,13.66,7,16.09,5,14.76,4,18.36,2,19.66,-,16.64,6
Axis Bluechip Fund,32707.97,1.17,13,2.17,13,4.84,8,7.4,11,7.53,12,16.11,8,26.74,9,26.71,9,28.2,10,22.57,13,12.01,13,14.28,13,14.77,6,13.01,10,15.43,7,-,-,-,-,13.02,-,14.95,8
