Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
LIC MF Liquid Fund - Regular Plan,12530.22,7.07,14,8.54,12,7.5,7,7.22,3,7.15,1,7.18,1,7.45,1,7.38,2,7.29,7,6.81,11,5.72,11,5.09,8,5.2,3,5.75,6,6.38,9,6.91,-,0.12
Mirae Asset Liquid Fund,11570.11,7.53,5,8.45,14,7.47,11,7.19,5,7.11,7,7.12,6,7.37,12,7.33,7,7.3,3,6.85,6,5.75,5,5.13,3,5.19,5,5.75,7,6.27,16,6.25,-,0.13
Nippon India Liquid Fund,33603.87,7.21,13,8.59,9,7.49,8,7.19,6,7.09,9,7.09,11,7.38,7,7.32,10,7.27,11,6.82,10,5.71,12,5.07,13,5.18,8,5.76,5,6.41,4,6.86,-,0.16
SBI Liquid Fund,70911.57,7.61,3,8.6,6,7.46,12,7.14,13,7.04,16,7.04,16,7.33,16,7.28,16,7.24,16,6.8,14,5.71,14,5.07,12,5.15,12,5.7,13,6.34,13,6.97,-,0.11
Tata Liquid Fund - Regular Plan,21011.58,7.48,6,8.59,8,7.47,10,7.13,14,7.06,14,7.07,14,7.33,15,7.31,12,7.27,10,6.8,15,5.7,15,5.06,14,5.17,10,5.75,8,6.4,6,7.01,-,0.11
UTI Liquid Fund - Regular Plan,28028.74,7.4,10,8.64,3,7.54,1,7.22,2,7.13,3,7.12,7,7.37,11,7.33,8,7.29,8,6.86,3,5.76,4,5.12,5,5.19,6,5.76,4,6.4,5,6.85,-,0.12
CRISIL Liquid Debt Index ( 02-Jul-2024 ) ,,10.33,,7.72,,7.27,,7.18,,7.15,,7.13,,7.34,,7.37,,7.36,,6.96,,5.92,,5.36,,5.45,,5.98,,6.53,,,,
CRISIL Liquid Debt B-I Index ( 02-Jul-2024 ) ,,10.27,,7.71,,7.25,,7.19,,7.18,,7.16,,7.37,,7.4,,7.39,,6.99,,5.95,,5.36,,5.44,,5.88,,6.46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Bond Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,7,,6,,10,
Peer Average,,10.9,,7.98,,6.54,,6.24,,8.46,,7.06,,7.73,,7.36,,7.16,,6.98,,5.49,,5.41,,6.75,,6.79,,7.51,,,,
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,22042.26,14.47,2,8.89,4,7.09,3,6.89,1,9.29,1,7.7,1,8.37,1,7.87,1,7.66,1,7.44,3,5.93,2,5.92,2,7.15,1,7.24,1,7.87,1,8.93,-,5.54
HDFC Corporate Bond Fund,28959.05,6.59,10,7.54,5,7.18,2,6.85,2,8.77,2,7.35,3,8.35,2,7.61,2,7.62,3,7.46,2,5.73,3,5.66,3,6.98,3,7.09,2,7.79,2,8.12,-,5.56
ICICI Prudential Corporate Bond Fund,27285.73,12.77,3,8.92,3,6.57,5,6.59,3,8.13,10,7.41,2,7.78,4,7.45,4,7.63,2,7.64,1,6.11,1,5.96,1,7.07,2,7.04,3,7.6,4,7.92,-,4.61
SBI Corporate Bond Fund - Regular Plan,20025.72,11.28,5,7.3,8,6.48,6,6.04,7,8.17,8,6.83,8,7.44,9,7.07,9,6.87,8,6.56,9,5.22,7,4.96,9,6.41,9,-,-,-,-,6.74,-,4.5
Bandhan Corporate Bond Fund - Regular Plan,13808.94,16.94,1,9.22,2,6.37,7,6.06,6,8.46,4,7.01,5,6.83,10,6.8,10,6.81,9,6.49,10,5.08,10,5.1,8,6.38,10,6.48,6,-,-,6.95,-,3.98
Kotak Corporate Bond Fund - Standard Plan,12541.1,8.69,8,6.63,10,5.9,9,5.86,9,8.23,7,7.22,4,7.9,3,7.55,3,7.29,4,6.93,5,5.6,4,5.53,5,6.52,7,6.85,5,7.78,3,7.67,-,5.19
HSBC Corporate Bond Fund,5965.27,7.07,9,9.27,1,7.24,1,6.34,4,8.53,3,6.44,10,7.65,7,7.17,8,6.63,10,7.06,4,5.16,9,4.94,10,6.77,6,6.98,4,7.22,5,7.23,-,4.55
Axis Corporate Debt Fund - Regular Plan,5282.11,12.35,4,7.43,7,6.93,4,6.25,5,8.42,6,6.9,7,7.72,6,7.34,6,7.06,6,6.83,6,5.48,5,5.6,4,6.94,4,-,-,-,-,6.64,-,5.09
UTI Corporate Bond Fund - Regular Plan,3856.33,9.7,6,7.07,9,5.43,10,5.52,10,8.15,9,6.81,9,7.55,8,7.29,7,7.02,7,6.73,7,5.43,6,5.3,6,6.79,5,-,-,-,-,7.18,-,4.31
Invesco India Corporate Bond Fund,3528.03,9.12,7,7.49,6,6.25,8,6.01,8,8.44,5,6.95,6,7.74,5,7.41,5,7.06,5,6.66,8,5.18,8,5.1,7,6.45,8,5.85,7,6.8,6,6.53,-,4.66
NIFTY Corporate Bond Index,,5.41,,5.23,,5.7,,6.41,,8.05,,6.95,,7.52,,7.27,,7.24,,7.27,,5.68,,5.99,,7.25,,7.06,,7.77,,,,
NIFTY Corporate Bond Index B-II,,9.66,,5.09,,5.56,,6.99,,7.92,,7.38,,7.61,,7.38,,7.39,,7.39,,6.04,,6.43,,7.25,,7.18,,7.75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,
Peer Average,,11.77,,7.77,,6.3,,6.36,,7.96,,6.9,,7.46,,7.33,,6.98,,6.76,,5.48,,5.36,,6.49,,6.24,,7,,,,
Aditya Birla Sun Life Short Term Fund - Regular Plan,7497.01,13.09,5,7.94,6,6.79,3,6.41,8,8.31,3,7.17,4,7.66,3,7.44,5,7.08,3,6.99,3,5.69,3,5.97,3,6.75,4,6.75,3,7.53,3,7.23,-,4.11
Axis Short Term Fund,8006.89,14.28,4,8.13,3,6.99,1,6.42,7,7.97,6,7.03,5,7.7,2,7.47,4,6.99,7,6.77,5,5.46,5,5.34,6,6.57,5,6.64,4,7.25,4,7.48,-,3.71
Bandhan Bond Fund Short Term Plan - Regular Plan,8759.17,21.82,1,10.24,1,6.71,4,7.07,1,8.71,1,7.26,2,7.46,7,7.73,1,7.07,4,6.76,6,5.17,8,4.97,9,6.25,8,6.43,5,7.03,7,7.29,-,3.42
DSP Short Term Fund,2972.58,12.59,6,7.24,10,5.95,11,6.6,5,7.83,9,6.63,11,7.14,11,6.91,12,6.59,11,6.35,12,4.98,10,4.81,10,5.99,10,6.08,9,6.82,9,6.9,-,3.47
HDFC Short Term Debt Fund,13055.75,9.43,9,7.91,7,6.66,6,6.7,4,8.38,2,7.39,1,8.09,1,7.73,2,7.46,1,7.16,2,5.67,4,5.71,4,6.9,3,7,1,7.56,2,8,-,4.06
HSBC Short Duration Fund - Regular Plan,3833.84,15.29,2,9.52,2,6.7,5,6.8,3,8.13,4,6.78,8,7.04,12,7.13,8,6.75,10,6.41,10,4.91,12,4.8,11,5.87,12,5.55,10,6.36,11,6.86,-,3.33
ICICI Prudential Short Term Fund,18252.31,14.82,3,7.96,5,6.41,7,6.48,6,7.94,7,7.24,3,7.62,4,7.52,3,7.44,2,7.56,1,6.02,2,5.98,2,7.03,2,6.86,2,7.63,1,7.83,-,5.01
Kotak Bond - Short Term Regular Fund,14949.4,9.95,8,7.1,11,6.05,9,6.18,9,7.73,11,6.89,7,7.42,8,7.08,9,6.86,9,6.58,9,5.11,9,5,8,6.19,9,6.34,7,7.02,8,7.33,-,5
Nippon India Short Term Fund,5511.4,8.81,10,7.82,8,6.81,2,6.83,2,7.87,8,6.75,9,7.46,6,7.39,7,7,6,6.73,7,5.37,6,5.46,5,6.47,6,6.38,6,7.14,5,7.6,-,3.47
SBI Short Term Debt Fund,12785.19,12.11,7,8.02,4,6.3,8,6.09,10,8.04,5,6.95,6,7.33,9,7.06,10,6.88,8,6.6,8,5.29,7,5.01,7,6.25,7,6.32,8,7.06,6,7.31,-,3.71
Tata Short Term Bond Fund - Regular Plan,2210.08,7.91,11,7.73,9,5.95,10,5.88,11,7.75,10,6.66,10,7.15,10,7.05,11,6.56,12,6.37,11,4.98,11,4.71,12,5.95,11,5.18,12,6.2,12,7.03,-,3.39
UTI Short Duration Fund - Regular Plan,2673.12,1.12,12,3.59,12,4.29,12,4.9,12,6.86,12,6.02,12,7.47,5,7.43,6,7.04,5,6.86,4,7.12,1,6.57,1,7.66,1,5.33,11,6.44,10,7.35,-,3.2
CRISIL Short-Term Bond Index ( 02-Jul-2024 ) ,,10.48,,5.29,,6.88,,7.5,,7.84,,7.3,,7.76,,7.45,,7.33,,7.23,,5.8,,5.71,,6.86,,6.85,,7.52,,,,
NIFTY Short Duration Debt Index B-II,,9.19,,6.16,,6.18,,7.17,,8,,7.41,,7.62,,7.49,,7.45,,7.43,,6.02,,6.14,,6.85,,6.89,,7.47,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Bond Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,12,
Peer Average,,18.13,,5.34,,4.8,,6.61,,11.89,,8.36,,9.73,,8.59,,7.63,,7.54,,5.95,,5.63,,6.64,,6.16,,7.49,,,,
360 ONE Dynamic Bond Fund - Regular Plan,734.01,19.73,8,6.61,4,4.91,5,5.84,7,9.8,8,6.93,11,9.6,5,8.86,4,7.92,4,7.28,9,6.12,3,6.27,3,6.54,9,6.35,7,7.12,8,6.75,-,6.46
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan,1698.57,26.66,4,6.75,3,4.61,7,5.29,10,12.41,5,8.84,4,9.07,8,8.31,7,7.41,8,8.71,1,6.59,2,6.56,2,5.58,11,5.09,12,6.8,11,7.59,-,13.84
Axis Dynamic Bond Fund - Regular plan,1702.66,17.73,10,6.09,6,6.39,2,7.12,4,9.88,7,7,10,8.82,10,7.64,10,6.98,10,7.54,8,5.18,10,5.14,9,6.79,4,6.69,3,7.72,5,7.87,-,9.25
Bandhan Dynamic Bond Fund - Regular Plan,2366.01,32.83,1,1.75,12,4.47,8,11.42,1,19.2,1,11.7,1,14.19,1,11.62,1,9.23,1,7.84,4,5.33,8,4.75,11,6.63,8,6.5,6,7.81,4,7.73,-,29.06
DSP Strategic Bond Fund - Regular Plan,1015.21,29.1,2,4.76,9,6.13,3,10.3,2,16.38,2,10.66,2,12.48,2,10.03,2,8.68,2,7.89,3,5.98,5,5.18,7,7.35,3,6.6,4,7.6,6,7.57,-,31.36
HDFC Dynamic Debt Fund,679.4,25.9,5,5.18,7,4.02,9,5.83,8,11.85,6,8.42,6,9.29,7,8.5,6,7.71,5,7.19,10,4.83,11,6.03,5,6.65,7,5.23,11,6.8,10,8.09,-,13.98
ICICI Prudential All Seasons Bond Fund,12570.68,17.98,9,6.36,5,5.54,4,4.66,11,9.39,10,7.79,7,7.75,11,7.82,8,7.46,7,7.99,2,6.11,4,6.14,4,7.36,2,7.01,2,8.54,1,8.81,-,8.15
Kotak Dynamic Bond Fund - Regular Plan,2517.92,28.8,3,5.11,8,3.82,10,7.68,3,14.13,3,8.76,5,10.46,3,9.66,3,8.48,3,7.64,7,5.59,7,5.41,6,6.66,6,7.04,1,7.91,2,8.01,-,22.02
Mirae Asset Dynamic Bond Fund - Regular Plan,152.53,11.93,11,6.75,2,7.27,1,6.92,6,7.72,12,6.47,12,7.01,12,6.69,12,6.18,12,6.34,12,4.14,12,3.75,12,5.52,12,5.6,9,-,-,5.73,-,2.66
Nippon India Dynamic Bond Fund,4606.22,-40.37,12,3.69,11,3.45,11,5.4,9,9.62,9,7.57,8,9.33,6,7.56,11,6.91,11,7.7,6,5.26,9,4.87,10,6.01,10,5.76,8,7.15,7,6.44,-,6.03
SBI Dynamic Bond Fund,3093.78,25.74,6,6.76,1,4.65,6,6.94,5,13.1,4,9.14,3,9.89,4,8.69,5,7.53,6,7.82,5,5.88,6,5.15,8,6.69,5,6.55,5,7.86,3,6.03,-,16.9
UTI Dynamic Bond Fund - Regular Plan,581.37,21.52,7,4.23,10,2.31,12,1.89,12,9.17,11,7.01,9,8.93,9,7.71,9,7.1,9,6.54,11,10.4,1,8.31,1,7.92,1,5.45,10,7.08,9,7.75,-,9.42
NIFTY Composite Debt Index,,12.48,,4.72,,5.2,,6.59,,10.45,,7.84,,9.22,,8.38,,7.66,,7.98,,5.74,,5.69,,7.12,,6.95,,7.92,,,,
NIFTY Composite Debt Index B-III,,11.09,,2.54,,5.11,,6.21,,9.15,,7.28,,8.52,,7.84,,7.45,,8.2,,6.2,,6.66,,7.62,,7.08,,8.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Risk Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,8,,12,
Peer Average,,12.77,,6.91,,6.39,,7.42,,8.6,,7.33,,7.77,,8.45,,8,,7.46,,7.1,,7.17,,5.94,,5.66,,6.62,,,,
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,927.05,15.99,2,8.22,1,6.33,7,14.83,1,12.66,1,10.18,1,9.11,1,8.25,3,7.78,4,8.67,2,7.11,5,7.71,4,6.78,6,6.51,5,-,-,7.32,-,4.02
Axis Credit Risk Fund - Regular Plan,452.65,11.32,8,6.42,10,6.95,3,6.57,7,8.02,8,7.25,5,7.71,8,7.42,9,7.19,8,7,7,5.9,8,6.35,10,6.69,7,6.01,6,-,-,7.02,-,2.38
Bandhan Credit Risk Fund - Regular Plan,346.14,13.88,3,7.15,5,6.76,6,6.7,4,8.27,5,7.2,7,7.26,10,7.04,10,6.5,12,6.21,12,4.94,11,5.1,12,5.7,9,5.77,8,-,-,5.93,-,3.69
Baroda BNP Paribas Credit Risk Fund,149.05,12.53,5,5.91,11,6.19,8,6.62,6,7.79,10,7.21,6,7.72,6,7.53,7,7.43,7,7.37,5,9.04,3,10.41,1,7.64,1,6.84,3,-,-,7.83,-,2.76
DSP Credit Risk Fund,194.02,12.91,4,7.72,3,6.79,5,6.29,8,8.05,6,7.26,4,7.57,9,18.17,1,15.51,1,10.84,1,9.73,2,8.76,2,7.62,2,5.71,9,6.87,5,6.83,-,2.96
HDFC Credit Risk Debt Fund - Regular Plan,7980.05,12.04,7,6.81,9,5.65,10,5.98,10,8.01,9,6.35,10,7.72,7,7.49,8,7.18,9,6.99,8,5.8,9,6.87,7,7.33,4,6.96,2,7.89,2,8.04,-,3.2
HSBC Credit Risk Fund,576,12.47,6,7.46,4,6.84,4,6.07,9,7.53,11,6.89,9,6.86,12,6.53,12,6.7,10,6.46,11,5.7,10,6.49,9,4.98,10,4.92,10,6.36,6,6.87,-,3.16
ICICI Prudential Credit Risk Fund,6912.5,11.04,9,8.17,2,5.8,9,4.86,11,8.96,3,6.96,8,7.88,4,8.23,4,7.83,3,7.34,6,6.4,7,6.93,5,7.53,3,7.32,1,7.91,1,8.18,-,3.08
Kotak Credit Risk Fund - Regular Plan,822.11,21.37,1,7.04,8,5.21,11,6.64,5,8.84,4,6.32,11,8.46,2,8.74,2,8.14,2,6.73,9,4.77,12,5.38,11,5.72,8,5.94,7,6.99,4,7.37,-,3.01
Nippon India Credit Risk Fund,1028.69,10.26,10,7.08,6,7.72,1,7.32,3,8.03,7,7.45,3,7.8,5,7.56,6,7.61,5,7.54,4,8.5,4,8.55,3,4.88,11,4.77,11,6.12,7,6.29,-,2.15
SBI Credit Risk Fund,2463.93,9.98,11,7.08,7,7.35,2,12.31,2,10.19,2,8.64,2,8.2,3,7.72,5,7.46,6,7.79,3,6.46,6,6.66,8,7.09,5,6.68,4,7.67,3,7.45,-,3.92
UTI Credit Risk Fund - Regular Plan,389.99,9.51,12,3.85,12,5.08,12,4.81,12,6.89,12,6.28,12,6.99,11,6.7,11,6.64,11,6.63,10,10.87,1,6.88,6,-0.73,12,0.55,12,3.16,8,3.97,-,2.86
NIFTY Credit Risk Bond Index,,10.51,,6.57,,6.84,,7.66,,8.11,,7.78,,8.35,,8.25,,8.55,,8.94,,7.68,,8.11,,8.68,,8.25,,8.79,,,,
NIFTY Credit Risk Bond Index C-III,,11.62,,7.01,,7.31,,7.9,,8.21,,7.71,,8.52,,8.68,,9.01,,9.49,,8.24,,8.39,,8.96,,8.56,,9.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium to Long Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,
Peer Average,,22.28,,6.63,,4.53,,5.18,,11.14,,8.03,,9.1,,8.32,,7.07,,7.27,,5.74,,5.17,,6.18,,5.67,,7.02,,,,
Aditya Birla Sun Life Income Fund - Regular Plan,1848.85,22.38,4,6.74,4,5.78,1,6.69,1,11.82,1,8.57,1,8.97,4,8.22,6,6.93,5,7.11,5,5.36,4,5.32,3,6.68,2,6.33,2,7.51,2,8.91,-,11.97
ICICI Prudential Bond Fund,2957.93,21.13,5,6.1,5,4.09,6,3.59,7,9.88,7,7.62,6,8.4,7,8.23,5,7.52,1,7.84,2,5.63,2,5.37,2,6.89,1,6.6,1,7.66,1,8.55,-,10.07
Kotak Bond Fund - Regular Plan,1903.4,22.39,3,5.95,6,4.27,5,6.51,2,11.59,2,8.38,2,9.1,3,8.59,2,7.41,3,7.36,3,5.15,5,4.82,4,6.27,4,5.9,4,7.02,5,8.29,-,15.03
HDFC Income Fund,754.3,19.52,6,8.57,1,5.1,2,5.46,3,11.51,4,8.07,3,10.19,1,8.93,1,7.43,2,7.17,4,4.53,6,4.32,6,5.41,7,4.93,6,6.46,6,7.31,-,11.67
Bandhan Bond Fund Income Plan - Regular Plan,491.25,27.38,2,7.34,2,4.56,3,5.33,4,11.54,3,8,4,9.35,2,8.37,3,6.7,6,6.51,7,4.25,7,3.79,7,5.58,6,5.69,5,7.17,4,7.81,-,11.89
Nippon India Income Fund,324.28,27.73,1,7,3,4.46,4,4.61,5,11.12,5,7.98,5,8.9,5,8.24,4,6.99,4,7.88,1,5.38,3,4.52,5,6.06,5,6.17,3,7.33,3,8.31,-,10.73
UTI Medium to Long Duration Fund - Regular Plan,300.38,15.45,7,4.72,7,3.47,7,4.06,6,10.54,6,7.59,7,8.76,6,7.65,7,6.49,7,7.04,6,9.9,1,8.03,1,6.35,3,4.05,7,5.98,7,7.58,-,10
CRISIL Composite Bond Index ( 02-Jul-2024 ) ,,17.05,,1.49,,6.53,,8.74,,11.08,,8.2,,9.42,,8.37,,7.64,,8,,5.69,,5.39,,6.93,,6.77,,7.97,,,,
CRISIL Medium to Long Duration Debt A-III Index ( 02-Jul-2024 ) ,,13.27,,0.07,,4.79,,6.44,,9.94,,7.43,,8.43,,7.86,,7.08,,7.74,,5.38,,5.22,,7.03,,6.82,,8.07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilt Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,
Peer Average,,27.7,,4.92,,4.03,,6.23,,13.15,,9.29,,10.48,,9.33,,7.99,,7.76,,5.55,,4.93,,6.45,,6.35,,7.93,,,,
Aditya Birla Sun Life Government Securities Fund - Regular Plan,1777.83,27.46,7,4.42,11,2.83,12,6.69,4,13.97,4,9.37,6,10.91,4,9.84,4,8.2,4,7.7,8,5.55,7,5.1,6,6.65,6,6.6,6,8.46,3,8.52,-,19.64
SBI Magnum Gilt Fund,8756.76,30.22,4,5.52,5,3.21,11,6.01,6,13.37,6,9.81,5,10.23,6,9.29,5,7.94,5,8.19,4,6.27,1,5.66,1,7.21,3,6.96,3,8.82,1,8,-,16.26
ICICI Prudential Gilt Fund,6289.29,19.28,13,5.11,8,3.73,8,3.14,12,9.62,12,7.59,12,7.93,13,7.63,13,7.81,7,8.52,1,6.26,2,5.64,2,7.34,2,6.86,4,8.47,2,9.43,-,10.6
Kotak Gilt Investment - Regular Plan,3422.09,31.86,2,4.48,10,4.29,7,8.83,3,15.06,3,10.15,4,9.56,10,8.97,7,7.93,6,8.01,5,5.58,6,5.03,7,6.54,7,6.32,8,7.75,8,8.99,-,28.72
HDFC Gilt Fund,2418.16,25.97,10,5.74,4,4.46,5,5.83,7,12.42,9,9.33,7,9.01,12,8.55,10,7.62,10,7.41,11,5.21,11,4.64,8,5.88,10,5.6,11,7.45,10,7.32,-,12.92
Bandhan Government Securities Fund - Investment Plan - Regular Plan,2190.88,33.4,1,2.37,13,5.04,2,12.01,1,19.77,1,12.28,1,14.9,1,12.25,1,9.8,1,8.32,2,5.77,4,5.14,5,7.11,4,7.14,2,8.4,4,7.96,-,28.95
