Weekly NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,22.8737,22.6773,0.87,14,3833.86
DSP Dynamic Asset Allocation Fund - Regular Plan,25.669,25.51,0.62,16,3125.59
Edelweiss Balanced Advantage Fund - Regular Plan,49.15,48.54,1.26,4,11281.66
Franklin India Balanced Advantage Fund - Regular Plan,13.5928,13.5401,0.39,19,1912.01
HDFC Balanced Advantage Fund,497.882,492.334,1.13,7,86471.32
HSBC Balanced Advantage Fund,41.1441,40.7612,0.94,12,1389.99
ICICI Prudential Balanced Advantage Fund,67.65,67.33,0.48,18,56750.35
Kotak Balanced Advantage Fund - Regular Plan,19.366,19.12,1.29,3,15830.08
LIC MF Balanced Advantage Fund - Regular Plan,12.9506,12.7435,1.63,2,868.01
Mirae Asset Balanced Advantage Fund - Regular Plan,13.277,13.148,0.98,11,1589.97
Nippon India Balanced Advantage Fund,167.4008,165.5804,1.1,9,8042.99
NJ Balanced Advantage Fund - Regular Plan,13.73,13.38,2.62,1,3860.71
PGIM India Balanced Advantage Fund - Regular Plan,14.65,14.48,1.17,5,1102.25
SBI Balanced Advantage Fund - Regular Plan,14.4868,14.3974,0.62,16,30096.32
Tata Balanced Advantage Fund - Regular Plan,19.8837,19.6981,0.94,12,9275.7
Union Balanced Advantage Fund - Regular Plan,19.53,19.31,1.14,6,1594.75
CRISIL Hybrid 50+50 Moderate Index,-,14517.67,-,,
,,,,,
Aggressive Hybrid Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,1467.07,1449.36,1.22,11,7515.79
Axis Equity Hybrid Fund - Regular Plan,19.41,19.15,1.36,7,1575.04
Canara Robeco Equity Hybrid Fund - Regular Plan,341.36,335.64,1.7,4,10152.64
DSP Equity & Bond Fund,331.604,325.832,1.77,3,9131.81
Franklin India Equity Hybrid Fund,257.4718,255.6175,0.73,15,1806.96
HDFC Hybrid Equity Fund,113.543,112.682,0.76,14,23138.21
HSBC Aggressive Hybrid Fund,54.3547,53.3965,1.79,2,5441.86
ICICI Prudential Equity & Debt Fund,360.61,357.8,0.79,13,35122.02
Kotak Equity Hybrid Fund - Regular Plan,34.947,34.315,1.84,1,5621.16
Mirae Asset Aggressive Hybrid Fund - Regular Plan,30.47,30.097,1.24,10,8563.76
Nippon India Equity Hybrid Fund,99.4845,98.4729,1.03,12,3535.42
SBI Equity Hybrid Fund,275.4882,271.5709,1.44,5,68372.47
Sundaram Aggressive Hybrid Fund,154.5902,152.683,1.25,9,4643.67
Tata Hybrid Equity Fund - Regular Plan,428.6015,422.5809,1.42,6,3740.61
UTI Aggressive Hybrid Fund - Regular Plan,384.5664,379.5474,1.32,8,5511.93
CRISIL Hybrid 35+65 Aggressive Index,-,19522.08,-,,
,,,,,
Large Cap Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,505.44,499.1,1.27,10,27274.77
Axis Bluechip Fund,58.96,58.28,1.17,13,32707.97
Canara Robeco Bluechip Equity Fund - Regular Plan,59.97,58.98,1.68,6,12976.74
DSP Top 100 Equity Fund - Regular Plan,441.926,433.617,1.92,1,3716.97
Franklin India Bluechip Fund,977.8729,961.0036,1.76,4,7646.59
HDFC Top 100 Fund,1117.798,1102.533,1.38,8,33488.5
ICICI Prudential Bluechip Fund,104.56,102.87,1.64,7,55459.29
Kotak Bluechip Fund - Regular Plan,554.462,544.823,1.77,3,8199.81
Mirae Asset Large Cap Fund - Regular Plan,107.724,105.933,1.69,5,37631.07
Nippon India Large Cap Fund,87.2089,85.6349,1.84,2,26925.1
SBI Bluechip Fund,88.5993,87.4919,1.27,10,46084.82
Sundaram Large Cap Fund - Regular Plan,20.9127,20.6288,1.38,8,3376.64
UTI Large Cap Fund - Regular Plan,267.3971,264.0359,1.27,10,12365.73
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
NIFTY 50 Index,24286.5,23868.8,1.75,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
NIFTY Next 50 Total Return Index,102996.73,101052.19,1.92,,
S&P BSE 100 Total Return Index,32708.62,32140.74,1.77,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
NIFTY 100 Total Return Index,34244.98,33644.18,1.79,,
,,,,,
Focused Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
360 ONE Focused Equity Fund - Regular Plan,47.6658,46.8606,1.72,5,7215.17
Aditya Birla Sun Life Focused Fund - Regular Plan,134.6101,132.8254,1.34,10,7151.96
Axis Focused Fund,52.38,52.16,0.42,18,13341.11
Bandhan Focused Equity Fund - Regular Plan,80.865,79.227,2.07,2,1505.55
Canara Robeco Focused Equity Fund - Regular Plan,18.41,18.05,1.99,3,2293.3
DSP Focus Fund,52.113,51.097,1.99,3,2338.45
Franklin India Focused Equity Fund,106.7804,105.2612,1.44,9,11442.54
HDFC Focused 30 Fund,210.729,209.271,0.7,16,11945.94
HSBC Focused Fund - Regular Plan,23.7271,23.5818,0.62,17,1595.84
ICICI Prudential Focused Equity Fund,83.7,82.71,1.2,14,8139.49
Invesco India Focused Fund - Regular Plan,26.41,26.01,1.54,7,2820.38
Kotak Focused Equity Fund - Regular Plan,24.46,24.158,1.25,13,3312.87
Mirae Asset Focused Fund - Regular Plan,24.008,23.69,1.34,10,7920.31
Nippon India Focused Equity Fund,119.0964,117.1702,1.64,6,7916.72
SBI Focused Equity Fund,328.7813,324.4676,1.33,12,33488.95
Sundaram Focused Fund,160.2845,157.9006,1.51,8,1057.99
Tata Focused Equity Fund - Regular Plan,23.5225,22.8806,2.81,1,1672.37
UTI Focused Fund - Regular Plan,15.4298,15.2558,1.14,15,2564.64
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
NIFTY 50 Index,24286.5,23868.8,1.75,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
NIFTY Next 50 Total Return Index,102996.73,101052.19,1.92,,
S&P BSE 100 Total Return Index,32708.62,32140.74,1.77,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
NIFTY 500 Total Return Index,35966.18,35308.41,1.86,,
,,,,,
Flexi Cap Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,1682.27,1662.79,1.17,15,20473.4
Axis Flexi Cap Fund - Regular Plan,25.57,25.2,1.47,12,12011.72
Bandhan Flexi Cap Fund - Regular Plan,201.531,198.154,1.7,7,6979.84
Canara Robeco Flexi Cap Fund - Regular Plan,325.63,319.92,1.78,6,12447.99
DSP Flexi Cap Fund,67.25,65.844,2.14,2,10558.54
Franklin India Flexi Cap Fund,1577.3674,1555.6422,1.4,13,15468.09
HDFC Flexi Cap Fund,1822.456,1805.753,0.92,17,54692.16
HSBC Flexi Cap Fund,213.1145,208.3851,2.27,1,4435.44
ICICI Prudential Flexicap Fund,17.9,17.71,1.07,16,14913.29
Kotak Flexicap Fund - Regular Plan,82.226,80.783,1.79,5,48469.47
Mirae Asset Flexi Cap Fund - Regular Plan,14.97,14.879,0.61,18,1874.54
Motilal Oswal Flexi Cap Fund - Regular Plan,56.1534,55.2529,1.63,9,10034.65
Nippon India Flexi Cap Fund - Regular Plan,16.8054,16.5767,1.38,14,7052.43
PGIM India Flexi Cap Fund - Regular Plan,34.65,34,1.91,4,5875.23
SBI Flexicap Fund,107.8364,106.1032,1.63,9,20647.58
Sundaram Flexi Cap Fund - Regular Plan,13.9745,13.7693,1.49,11,2064.78
Tata Flexi Cap Fund - Regular Plan,22.9766,22.513,2.06,3,2732.29
UTI Flexi Cap Fund - Regular Plan,306.377,301.3431,1.67,8,23972.31
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
NIFTY Next 50 Total Return Index,102996.73,101052.19,1.92,,
NIFTY Midcap 100 Total Return Index,75762.34,74346.25,1.9,,
S&P BSE AllCap Total Return Index,13474.83,13217.77,1.94,,
NIFTY 500 Total Return Index,35966.18,35308.41,1.86,,
,,,,,
Large & Mid Cap Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,897.09,884.47,1.43,15,5761.97
Axis Growth Opportunities Fund - Regular Plan,31.28,30.78,1.62,12,12424.49
Bandhan Core Equity Fund - Regular Plan,127.151,124.538,2.1,6,4680.59
Canara Robeco Emerging Equities Fund - Regular Plan,246.96,242.85,1.69,10,21796.83
DSP Equity Opportunities Fund,601.768,588.388,2.27,4,11991.26
Edelweiss Large & Mid Cap Fund - Regular Plan,84.424,82.453,2.39,3,3046.54
Franklin India Equity Advantage Fund,180.4787,177.1941,1.85,8,3203.2
HDFC Large and Mid Cap Fund - Regular Plan,331.499,326.507,1.53,14,19454.33
HSBC Large and Mid Cap Fund - Regular Plan,26.6336,26.0578,2.21,5,3118.58
ICICI Prudential Large & Mid Cap Fund,929.74,918.91,1.18,18,13420.35
Invesco India Large & Mid Cap Fund,89.18,87.96,1.39,16,5841.65
Kotak Equity Opportunities Fund - Regular Plan,336.538,332.631,1.17,19,22329.12
LIC MF Large & Mid Cap Fund - Regular Plan,38.7675,37.8067,2.54,1,2737
Mirae Asset Large & Midcap Fund - Regular Plan,146.782,144.354,1.68,11,35272.6
Motilal Oswal Large and Midcap Fund - Regular Plan,29.7817,29.5704,0.71,20,4293
Nippon India Vision Fund,1402.761,1369.906,2.4,2,4668.16
SBI Large & Midcap Fund,589.5542,580.3863,1.58,13,23443.39
Sundaram Large and Mid Cap Fund,83.6948,82.2017,1.82,9,6451.55
Tata Large & Mid Cap Fund - Regular Plan,525.2349,518.5515,1.29,17,7285.94
UTI Large & Mid Cap Fund - Regular Plan,171.2747,167.8505,2.04,7,3085.86
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
NIFTY Midcap 100 Total Return Index,75762.34,74346.25,1.9,,
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
NIFTY Large Midcap 250 Total Return Index,20432.92,20065.02,1.83,,
S&P BSE 250 Large MidCap Total Return Index,13361.73,13120.01,1.84,,
,,,,,
Multi Cap,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,19.27,18.93,1.8,9,5583.9
Axis Multicap Fund - Regular Plan,16.86,16.51,2.12,4,5473.59
Bandhan Multi Cap Fund - Regular Plan,16.825,16.558,1.61,12,2105.34
Baroda BNP Paribas Multi Cap Fund,282.1457,276.3535,2.1,5,2458.87
HDFC Multi Cap Fund - Regular Plan,18.881,18.552,1.77,10,13815.44
HSBC Multi Cap Fund - Regular Plan,18.4425,18.0742,2.04,6,3109.33
ICICI Prudential Multicap Fund,760.27,749.63,1.42,13,12047.86
Invesco India Multicap Fund,126.1,123.47,2.13,3,3623.18
Kotak Multicap Fund - Regular Plan,18.684,18.332,1.92,8,11371.74
Mahindra Manulife Multi Cap Fund - Regular Plan,35.0183,34.1264,2.61,1,3670.19
Nippon India Multi Cap Fund,291.7361,286.8362,1.71,11,31963.02
SBI Multicap Fund - Regular Plan,15.6227,15.4433,1.16,14,15785.91
Sundaram Multi Cap Fund,370.4925,362.2333,2.28,2,2566.75
Tata Multicap Fund - Regular Plan,14.7568,14.4612,2.04,6,2913.19
Nifty 500 Multicap 50:25:25 Total Return Index,20600.3,20209.02,1.94,,
,,,,,
ESG Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,16.93,16.65,1.68,2,666.43
Axis ESG Integration Strategy Fund - Regular Plan,20.93,20.57,1.75,1,1338.05
ICICI Prudential ESG Exclusionary Strategy Fund,20.48,20.2,1.39,6,1409.93
Invesco India ESG Integration Strategy Fund - Regular Plan,17.24,16.98,1.53,5,552.17
Kotak ESG Exclusionary Strategy Fund - Regular Plan,17.026,16.762,1.57,4,988.8
SBI ESG Exclusionary Strategy Fund,236.7969,233.1155,1.58,3,5534.25
NIFTY 100 ESG Total Return Index,5739.44,5624.52,2.04,,
,,,,,
ELSS Schemes,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,205.38,202.89,1.23,13,15481.43
Axis ELSS Tax Saver Fund,92.3811,91.4147,1.06,17,34895.64
Bandhan ELSS Tax Saver Fund - Regular Plan,151.938,149.296,1.77,9,6433.56
Canara Robeco ELSS Tax Saver Fund - Regular Plan,50.53,49.51,2.06,7,7925.68
DSP ELSS Tax Saver Fund,133.763,130.717,2.33,2,15161.2
Franklin India ELSS Tax Saver Fund,1430.4538,1409.4713,1.49,12,6397.51
HDFC ELSS Tax Saver Fund,1322.499,1310.627,0.91,18,14752.93
HSBC ELSS Tax Saver Fund,130.7181,127.9901,2.13,5,3949.85
ICICI Prudential ELSS Tax Saver,870.6,860.35,1.19,15,13110.65
Invesco India ELSS Tax Saver Fund,122.96,120.33,2.19,4,2847.83
Kotak ELSS Tax Saver - Regular Plan,117.644,115.75,1.64,11,5768.54
Mirae Asset ELSS Tax Saver Fund - Regular Plan,46.584,45.812,1.69,10,22620.57
Motilal Oswal ELSS Tax Saver Fund - Regular Plan,48.5212,48.1321,0.81,19,3435.94
Nippon India ELSS Tax Saver Fund,127.1669,124.3887,2.23,3,15026.04
Parag Parikh ELSS Tax Saver Fund - Regular Plan,29.2163,28.5,2.51,1,3454.03
SBI Long Term Equity Fund - Regular Plan,427.5571,419.8496,1.84,8,23887.64
Sundaram ELSS Tax Saver Fund,491.6676,486.3207,1.1,16,1279.85
Tata ELSS Tax Saver Fund,101.4551,99.3895,2.08,6,4199.87
UTI ELSS Tax Saver Fund,204.9,202.4264,1.22,14,3625.7
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
S&P BSE 200 Index,11238.43,11036.42,1.83,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
S&P BSE Sensex Index,79986.8,78674.25,1.67,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
NIFTY 500 Total Return Index,35966.18,35308.41,1.86,,
,,,,,
Midcap Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,761.17,753.67,1,20,5342.47
Axis Midcap Fund,110.13,108.17,1.81,14,27747.62
Baroda BNP Paribas Midcap Fund,101.266,99.1749,2.11,9,1934.5
Canara Robeco Mid Cap Fund - Regular Plan,16.61,16.17,2.72,3,2223.58
DSP Midcap Fund - Regular Plan,143.946,141.281,1.89,11,17667.73
Edelweiss Mid Cap Fund - Regular Plan,94.469,91.707,3.01,1,5863.6
Franklin India Prima Fund,2642.1827,2603.6945,1.48,15,11011.05
HDFC Mid-Cap Opportunities Fund,182.582,178.366,2.36,6,65394.16
HSBC Midcap Fund,376.9801,370.1281,1.85,12,10583.54
ICICI Prudential Midcap Fund,290.49,287.32,1.1,19,6063.3
Invesco India Mid Cap Fund,155.65,153.56,1.36,18,5216.43
Kotak Emerging Equity Fund - Regular Plan,129.536,126.198,2.65,4,45017.71
Mahindra Manulife Mid Cap Fund - Regular Plan,33.2699,32.3142,2.96,2,2580.04
Mirae Asset Midcap Fund - Regular Plan,35.081,34.604,1.38,17,15353.87
Motilal Oswal Midcap Fund - Regular Plan,96.3037,93.8926,2.57,5,10378.16
Nippon India Growth Fund,3925.8931,3842.603,2.17,7,27931.43
PGIM India Midcap Opportunities Fund - Regular Plan,62.94,61.7,2.01,10,10114.15
SBI Magnum Midcap Fund,234.7759,232.7661,0.86,21,18398.62
Sundaram Mid Cap Fund - Regular Plan,1294.9842,1267.9988,2.13,8,11017.41
Tata Midcap Growth Fund - Regular Plan,439.8716,433.4932,1.47,16,3823.84
UTI Mid Cap Fund - Regular Plan,300.6553,295.1968,1.85,12,10682.52
NIFTY Midcap 100 Total Return Index,75762.34,74346.25,1.9,,
NIFTY Midcap 100 Index,56293.3,55245.8,1.9,,
NIFTY Smallcap 100 Total Return Index,23899.46,23366.78,2.28,,
S&P BSE Mid Cap Total Return Index,58931.78,57760.9,2.03,,
NIFTY Midcap 150 Total Return Index,26573.14,26077.01,1.9,,
,,,,,
Small Cap Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Small Cap Fund - Regular Plan,88.4293,86.2406,2.54,5,4762.46
Axis Small Cap Fund - Regular Plan,101.91,99.25,2.68,4,20504.37
Bandhan Small Cap Fund - Regular Plan,42.211,40.896,3.22,2,5165.54
Canara Robeco Small Cap Fund - Regular Plan,39.79,38.9,2.29,9,10429.89
DSP Small Cap Fund - Regular Plan,188.334,185.346,1.61,18,13781.07
Edelweiss Small Cap Fund - Regular Plan,43.304,42.47,1.96,13,3421.55
Franklin India Smaller Companies Fund,182.5996,179.7453,1.59,19,12797.29
HDFC Small Cap Fund - Regular Plan,135.349,133.014,1.76,17,29175.05
HSBC Small Cap Fund,86.3023,84.6738,1.92,14,14787.25
ICICI Prudential Smallcap Fund,89.51,87.29,2.54,5,7795.29
Invesco India Smallcap Fund - Regular Plan,38.89,38.13,1.99,12,4581.33
Kotak Small Cap Fund - Regular Plan,269.434,265.354,1.54,20,15282.62
Mahindra Manulife Small Cap Fund - Regular Plan,19.7587,19.0756,3.58,1,4131.27
Nippon India Small Cap Fund,174.5421,169.6483,2.88,3,51566.11
PGIM India Small Cap Fund - Regular Plan,15.45,15.17,1.85,16,1403.38
SBI Small Cap Fund,178.9445,175.2521,2.11,11,28375.34
Sundaram Small Cap Fund - Regular Plan,252.1672,246.5641,2.27,10,3108.53
Tata Small Cap Fund - Regular Plan,40.0127,39.0754,2.4,8,7083.38
Union Small Cap Fund - Regular Plan,48.35,47.45,1.9,15,1425.13
UTI Small Cap Fund - Regular Plan,24.8995,24.2904,2.51,7,3773.05
NIFTY Smallcap 100 Total Return Index,23899.46,23366.78,2.28,,
NIFTY Smallcap 100 Index,18700.55,18288,2.26,,
NIFTY Midcap 100 Total Return Index,75762.34,74346.25,1.9,,
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
S&P BSE 250 SmallCap Total Return Index,8690.42,8505.65,2.17,,
,,,,,
Value Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Pure Value Fund - Regular Plan,125.9435,122.8991,2.48,1,5775.03
Bandhan Sterling Value Fund - Regular Plan,148.825,146.532,1.56,7,9019.36
Canara Robeco Value Fund - Regular Plan,17.93,17.61,1.82,3,1183.15
HDFC Capital Builder Value Fund,709.957,703.221,0.96,11,6823.27
HSBC Value Fund,108.5059,107.0466,1.36,9,12373.16
ICICI Prudential Value Discovery Fund,431.72,424.51,1.7,6,42669.05
Nippon India Value Fund,219.7336,216.4321,1.53,8,7651.64
Quantum Long Term Equity Value Fund - Regular Plan,122.14,120.73,1.17,10,1084.59
Tata Equity PE Fund - Regular Plan,358.1765,349.8115,2.39,2,7904.83
Templeton India Value Fund,735.8129,722.84,1.79,4,1978.03
UTI Value Fund - Regular Plan,161.5769,158.745,1.78,5,9125.24
S&P BSE Enhanced Value Total Return Index,1672.79,1630.41,2.6,,
S&P BSE Enhanced Value Index,984.77,960.73,2.5,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
NIFTY Midcap 100 Total Return Index,75762.34,74346.25,1.9,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
NIFTY 500 Total Return Index,35966.18,35308.41,1.86,,
,,,,,
Sector-MNC Schemes,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life MNC Fund - Regular Plan,1394.01,1376.35,1.28,4,3782.46
ICICI Prudential MNC Fund,28.35,27.79,2.02,2,1668.85
SBI Magnum Global Fund,371.1395,365.3506,1.58,3,6365.86
UTI MNC Fund - Regular Plan,404.0833,395.6432,2.13,1,2863.72
NIFTY MNC Total Return Index,47402.07,46590.54,1.74,,
NIFTY MNC Index,30661.35,30136.4,1.74,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE 200 Total Return Index,14282.65,14022.47,1.86,,
,,,,,
Gennext,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life India GenNext Fund - Regular Plan,207.24,205.33,0.93,6,5026.93
Baroda BNP Paribas India Consumption Fund - Regular Plan,30.5676,30.2716,0.98,5,1268.35
Canara Robeco Consumer Trends Fund - Regular Plan,105.67,104.42,1.2,4,1486.28
ICICI Prudential Bharat Consumption Fund,24.3,24.14,0.66,8,2349.54
Mirae Asset Great Consumer Fund - Regular Plan,90.197,88.796,1.58,2,3409.2
