Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
ICICI Prudential Quant Fund,79.79,2.03,10,2.81,12,5.32,22,10.16,21,11.35,26,17.92,33,29.77,33,29.53,33,37.02,33,28.17,36,18.58,20,-,-,-,-,-,-,-,-,-,-,-,-,24.11,-,18.18,32
ICICI Prudential Thematic Advantage Fund (FOF) #,1555.11,1.11,35,1.79,33,7.28,6,6.85,35,8.07,37,13.54,38,24.8,37,24.8,38,31.67,38,28.06,37,19.24,19,22.27,10,16.57,8,15.82,6,15.31,9,14.42,10,16.64,6,15.61,-,13.95,37
Invesco India Contra Fund,16189.14,1.54,23,2.49,20,4.81,30,10.49,19,14.29,13,24.05,16,38.16,20,38.16,20,47.72,20,35.33,23,21.88,15,21.21,14,18.07,4,17.54,3,19.29,4,17.47,4,-,-,15.88,-,23.32,17
Kotak India EQ Contra Fund - Regular Plan,3136.4,1.64,20,2.61,15,5.11,26,10.61,17,14.19,15,24.34,15,44.63,13,44.23,12,53.06,13,40.46,14,25.07,11,22.57,7,19.54,3,16.71,4,17.79,6,16.16,7,-,-,15.3,-,24.13,15
Kotak Manufacture in India Fund - Regular Plan,2098.36,1.98,13,2.49,21,6.05,15,13.46,3,17.03,5,31.1,9,44.66,12,43.76,13,54.93,11,37.74,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.36,-,30.31,9
Kotak Pioneer Fund - Regular Plan,2386.41,1.78,17,2.43,24,8.08,3,13.82,1,15.23,11,26.85,12,41.49,14,40.79,15,47.19,22,36.33,21,20.21,17,-,-,-,-,-,-,-,-,-,-,-,-,26.03,-,25.74,12
Mahindra Manulife Consumption Fund - Regular Plan,195.4,1.08,37,1.57,35,7.26,8,9.33,24,12.6,19,20.55,24,32.99,28,33.44,26,37.7,32,31.43,28,20.13,18,17.5,21,-,-,-,-,-,-,-,-,-,-,15.57,-,21.02,22
Mirae Asset Nifty India Manufacturing ETF,151.97,1.66,19,1.53,36,4.65,32,13.35,4,17.89,3,34.11,4,51.53,5,50.4,6,60.76,8,42.47,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.73,-,33.61,4
Mirae Asset Nifty India Manufacturing ETF FoF - Regular Plan,87.16,1.48,26,1.38,38,4.33,34,12.92,5,17.4,4,33.51,5,50.54,7,49.35,7,59.46,9,41.47,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.05,-,32.92,6
Nippon India ETF Nifty Dividend Opportunities 50,51,2.34,6,2.22,30,2.33,41,6.79,36,8.89,33,19.09,28,39.73,16,39.19,17,49.53,16,38.96,16,26.07,9,21.35,12,17.52,5,14.32,12,-,-,-,-,-,-,16.33,-,18.58,30
Nippon India Nifty Auto ETF,154.5,0.65,42,-0.79,42,5.14,25,11.88,9,16.98,7,37.63,2,57.56,2,55.67,3,67.8,4,47.14,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.11,-,35.4,2
Nippon India Quant Fund - Retail Plan,64.87,2.17,8,2.58,16,2.65,40,6.32,39,8.82,34,18.93,29,38.04,21,37.59,21,44.43,27,37.49,19,23.48,14,21.27,13,16.7,7,13.82,13,14.92,11,13.51,11,-,-,12.46,-,18.92,28
Quant Quantamental Fund - Regular Plan,2408.6,1.42,29,1.47,37,0.85,43,6.12,41,8.71,35,27.73,10,51.2,6,50.68,5,61.66,5,50.94,2,33.1,1,-,-,-,-,-,-,-,-,-,-,-,-,33.2,-,28.43,10
SBI Contra Fund,30520.42,1.31,31,2.27,29,4.7,31,7.65,33,10.76,28,20.13,26,36.04,23,35.99,23,47.87,19,40.18,15,29.57,5,28.55,1,20.03,2,17.84,2,18.2,5,15.19,8,20.55,2,20.04,-,20.21,25
SBI Equity Minimum Variance Fund - Regular Plan,190.17,1.89,14,2.16,31,5.31,23,6.97,34,6.04,43,11.17,41,25.71,36,24.82,37,29.99,40,26.74,39,17.6,25,18.56,20,-,-,-,-,-,-,-,-,-,-,17.94,-,11,40
SBI Magnum COMMA Fund,595.31,2.98,2,2.48,22,1.02,42,3.88,43,8.03,38,14.25,36,31.59,32,31.84,30,45.46,25,31.35,29,16.07,27,22.42,9,16.33,9,14.64,8,14.23,12,12.16,12,-,-,13.05,-,14.4,36
Sundaram Services Fund - Regular Plan,3358.02,1.83,16,3.16,5,7.28,7,8.68,30,9.71,30,12.65,39,24.28,38,24.26,39,31.61,39,29.04,34,20.55,16,22.43,8,-,-,-,-,-,-,-,-,-,-,21.72,-,12.42,39
Tata Business Cycle Fund - Regular Plan,2311.19,1.56,22,2.35,28,3.64,37,9.09,26,11.26,27,21.92,20,37.15,22,37.28,22,52.03,14,41.3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.46,-,21.86,20
Tata Ethical Fund - Regular Plan,2566.59,2.62,5,2.93,9,7.47,5,10.61,18,12.28,20,17.77,34,28.58,35,28.35,35,33.88,36,26.64,40,17.21,26,21.05,16,16.3,10,14.5,10,16.7,7,16.23,6,18.37,5,16.72,-,17.02,34
Tata Quant Fund - Regular Plan,57.81,2.01,12,3.5,2,8.23,2,10.67,16,14.29,14,14.15,37,23.65,40,22.95,40,32.87,37,29.68,32,13.67,30,-,-,-,-,-,-,-,-,-,-,-,-,10.35,-,13.49,38
Taurus Ethical Fund - Regular Plan,180.69,2.77,4,3.07,6,6.07,14,9.73,22,9.41,31,20.93,21,32.76,29,32.53,29,46.13,24,30.85,30,17.77,24,20.52,17,16.95,6,14.51,9,16.14,8,14.98,9,-,-,18.34,-,20.81,23
UTI Transportation and Logistics Fund - Regular Plan,3435.05,1.04,39,0.15,41,4.52,33,10.73,14,15.32,10,31.39,8,49.83,8,48.54,9,56.65,10,40.61,13,29.84,4,24.18,5,13.57,14,15.41,7,20.71,1,21.21,1,18.59,3,17.74,-,30.58,8
