Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Mirae Asset Flexi Cap Fund - Regular Plan,1874.54,0.61,21,2.32,18,4.44,20,8.53,18,10.31,18,16.43,15,27.12,14,26.84,16,33.53,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.65,-,15.88,13
Motilal Oswal Flexi Cap Fund - Regular Plan,10034.65,1.63,11,2.67,11,8.55,3,11.96,2,13.74,5,28.09,1,43.74,1,44.53,1,56.52,1,37.28,2,18.89,5,15.92,16,12.96,13,16.57,1,-,-,-,-,-,-,18.45,-,28.09,1
Nippon India Flexi Cap Fund - Regular Plan,7052.43,1.38,15,2.54,14,5.81,11,10.85,6,14.55,2,17.89,11,31.78,7,31.76,8,43.11,5,31.82,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.74,-,17.73,9
PGIM India Flexi Cap Fund - Regular Plan,5875.23,1.91,5,2.97,8,7.14,6,8.62,17,9.65,20,14.89,18,24.28,19,24.28,19,25.77,20,24.01,18,13.61,16,20.24,3,15.56,5,-,-,-,-,-,-,-,-,14.23,-,13.83,19
SBI Flexicap Fund,20647.58,1.63,10,2.69,10,5.25,15,8.18,20,9.98,19,15.42,16,25.94,17,25.69,17,30.19,18,25.42,17,15.91,12,16.44,14,14.19,11,15.37,5,17.09,5,14.32,9,-,-,13.5,-,14.95,17
Sundaram Flexi Cap Fund - Regular Plan,2064.78,1.49,12,2.8,9,5.07,16,7.71,21,8.66,21,13.02,20,23.56,20,23,20,28.68,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.13,-,12.21,20
Tata Flexi Cap Fund - Regular Plan,2732.29,2.06,4,3.18,5,6.58,8,8.79,15,11.58,12,14.74,19,26.27,16,26.87,15,35.2,11,26.95,14,16.53,11,16.51,12,-,-,-,-,-,-,-,-,-,-,15.34,-,14.51,18
Tata Young Citizens Fund - Regular Plan,336.72,3.09,1,4.22,1,8.61,2,10.76,7,12.38,9,15.04,17,26.78,15,27.06,14,33.12,16,29.54,10,18.16,6,19.3,6,13.86,12,13.3,13,13.36,12,12.56,11,13.35,8,13.4,-,14.96,16
UTI Children's Equity Fund-Regular Plan,1010.49,1.21,17,2.27,19,7.33,4,11.4,5,14.15,4,16.65,13,28.14,13,28.13,13,33.54,14,26.32,15,15.67,13,18.12,8,14.2,10,13.69,10,14.92,11,13.23,10,11.27,9,11.03,-,15.62,15
UTI Flexi Cap Fund - Regular Plan,23972.31,1.67,9,3.18,4,9.27,1,11.65,4,12.44,8,11.63,21,19.52,21,19.44,21,22.45,21,19.5,19,9.49,17,16.49,13,14.38,8,13.46,11,15.38,10,15.17,8,16.98,7,12.86,-,10.22,21
