Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
ICICI Prudential Flexicap Fund - Direct Plan,14913.29,1.09,19,2.14,20,6.47,9,9.8,12,10.98,17,21.73,4,35.47,4,35.08,4,41.77,6,33.57,7,-,-,-,-,-,-,-,-,-,-,-,-,23.26,-,20.78,5
Kotak Flexicap Fund - Direct Plan,48469.47,1.8,7,2.57,15,3.57,21,10.75,8,13.46,6,22.06,3,33.81,6,33.76,6,41.28,7,33.24,8,20.25,4,18.67,10,16.3,6,17.29,3,-,-,-,-,18.15,-,20.89,4
Mirae Asset Flexi Cap Fund - Direct Plan,1874.54,0.64,21,2.38,18,4.57,20,8.81,17,10.72,18,17.3,14,28.55,14,28.28,14,35.54,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.73,-,16.77,13
Motilal Oswal Flexi Cap Fund - Direct Plan,10034.65,1.65,11,2.71,11,8.62,3,12.12,2,13.98,5,28.62,1,44.64,1,45.45,1,57.83,1,38.44,2,19.91,5,16.93,16,13.97,13,17.64,1,-,-,-,-,19.55,-,28.64,1
Nippon India Flexi Cap Fund - Direct Plan,7052.43,1.4,15,2.6,14,5.93,11,11.1,6,14.93,2,18.65,11,33.07,7,33.08,7,45.01,5,33.62,6,-,-,-,-,-,-,-,-,-,-,-,-,21.51,-,18.51,9
PGIM India Flexi Cap Fund - Direct Plan,5875.23,1.91,5,3.02,8,7.25,6,8.86,16,10,20,15.67,17,25.57,19,25.57,19,27.49,20,25.83,18,15.4,16,22.31,2,17.63,4,-,-,-,-,-,-,15.98,-,14.64,19
SBI Flexicap Fund - Direct Plan,20647.58,1.65,10,2.73,10,5.32,15,8.33,20,10.21,19,15.91,16,26.74,17,26.5,17,31.31,18,26.51,17,16.94,12,17.51,13,15.29,10,16.45,4,-,-,-,-,17.35,-,15.44,16
Sundaram Flexi Cap Fund - Direct Plan,2064.78,1.52,12,2.86,9,5.18,16,7.97,21,9.06,21,13.85,20,24.97,20,24.43,20,30.72,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.16,-,13.06,20
Tata Flexi Cap Fund - Direct Plan,2732.29,2.08,4,3.23,4,6.69,8,9.02,15,11.93,12,15.47,18,27.48,15,28.1,15,36.93,11,28.62,14,18.09,10,18.26,11,-,-,-,-,-,-,-,-,17.17,-,15.26,17
Tata Young Citizens Fund - Direct Plan,336.72,3.1,1,4.24,1,8.65,2,10.84,7,12.5,9,15.29,19,27.21,16,27.49,16,33.71,17,30.31,10,18.87,7,20.08,7,14.74,12,14.34,11,-,-,-,-,14.14,-,15.23,18
UTI Children's Equity Fund-Direct Plan,1010.49,1.23,17,2.32,19,7.42,4,11.61,5,14.5,4,17.33,13,29.25,13,29.26,13,35.04,15,27.69,15,16.93,13,19.31,8,15.33,9,14.69,10,-,-,-,-,15.27,-,16.31,15
UTI Flexi Cap Fund - Direct Plan,23972.31,1.69,9,3.21,5,9.34,1,11.79,4,12.65,8,12.05,21,20.21,21,20.14,21,23.39,21,20.43,19,10.37,17,17.36,15,15.15,11,14.13,13,-,-,-,-,15.31,-,10.65,21
